,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Tax,Price,Body Type,CO2,MOT Expires
0,8 Series,Petrol,3.0L,Automatic,933 miles,2,335 bhp,2021 (21),33.6,£199,"£55,500",,,
1,M2,Petrol,3.0L,Automatic,"18,161 miles",2,405 bhp,2019 (69),,£199,"£41,500",,,
2,X5,Diesel,3.0L,Automatic,"54,064 miles",5,308 bhp,2017 (67),,£199,"£37,000",,,
3,5 Series,Petrol,3.0L,Automatic,"35,578 miles",5,335 bhp,2018 (68),,£199,"£36,900",,,
4,X5,Diesel,3.0L,Automatic,"34,681 miles",5,308 bhp,2017 (17),,£199,"£36,000",,,
5,X3,Diesel,2.0L,Automatic,"11,897 miles",5,188 bhp,2019 (19),,£199,"£34,600",,,
6,X6,Diesel,3.0L,Automatic,"45,740 miles",4,255 bhp,2018 (18),,£199,"£34,500",,,
7,X5,Diesel,3.0L,Automatic,"58,404 miles",5,255 bhp,2017 (67),,£199,"£34,500",,,
8,5 Series,Petrol,3.0L,Automatic,"25,134 miles",4,335 bhp,2018 (68),,£199,"£34,300",,,
9,X5,Diesel,3.0L,Automatic,"43,237 miles",5,255 bhp,2016 (66),,£199,"£33,800",,,
10,3 Series,Diesel,2.0L,Automatic,"9,857 miles",5,188 bhp,2020 (69),50.4,£199,"£32,400",,,
11,X5,Diesel,3.0L,Automatic,"48,237 miles",5,255 bhp,2016 (16),,£199,"£31,300",,,
12,X3,Diesel,3.0L,Automatic,"29,556 miles",5,308 bhp,2017 (67),,£199,"£31,100",,,
13,6 Series,Diesel,3.0L,Automatic,"26,166 miles",4,308 bhp,2018 (18),,£199,"£31,000",,,
14,X1,Petrol,2.0L,Automatic,"7,400 miles",5,189 bhp,2019 (69),,£199,"£30,700",,,
15,6 Series,Petrol,3.0L,Automatic,"46,238 miles",2,,2017 (17),,£199,"£30,600",Convertible,184 g/km,
16,6 Series,Petrol,2.0L,Automatic,"25,657 miles",5,248 bhp,2018 (68),42.8,£199,"£30,600",,,
17,X4,Diesel,2.0L,Automatic,"28,510 miles",4,188 bhp,2018 (18),,£199,"£30,600",,,
18,X6,Diesel,3.0L,Automatic,"60,407 miles",4,308 bhp,2016 (16),,£199,"£30,500",,,
19,6 Series,Diesel,3.0L,Automatic,"32,054 miles",5,261 bhp,2018 (68),53.3,£199,"£30,300",,,
20,X3,Diesel,2.0L,Automatic,"44,457 miles",5,188 bhp,2018 (67),,£199,"£30,100",,,
21,6 Series,Diesel,3.0L,Automatic,"28,229 miles",5,261 bhp,2018 (18),53.3,£199,"£30,000",,,
22,X5,Diesel,3.0L,Automatic,"57,269 miles",5,255 bhp,2015 (65),,£199,"£30,000",,,
23,X5,Diesel,3.0L,Automatic,"42,545 miles",5,255 bhp,2014 (64),47.1,£199,"£29,800",,,
24,X3,Diesel,2.0L,Automatic,"41,753 miles",5,188 bhp,2018 (68),54.3,£199,"£29,800",,,
25,6 Series,Diesel,2.0L,Automatic,"30,636 miles",5,188 bhp,2019 (69),44.1,£199,"£29,800",,,
26,2 Series,Petrol,2.0L,Automatic,"11,035 miles",5,189 bhp,2019 (69),47.9,£199,"£29,700",,,
27,6 Series,Diesel,3.0L,Automatic,"26,639 miles",4,308 bhp,2017 (67),,£199,"£29,700",,,
28,3 Series,Petrol,2.0L,Automatic,"11,249 miles",4,181 bhp,2020 (69),,£199,"£29,500",,,
29,3 Series,Hybrid Petrol,2.0L,Automatic,"33,553 miles",4,288 bhp,2019 (69),8.8,£199,"£29,500",,,
30,6 Series,Diesel,3.0L,Automatic,"44,013 miles",5,261 bhp,2018 (68),53.3,£199,"£29,500",,,
31,6 Series,Petrol,3.0L,Automatic,"51,046 miles",2,315 bhp,2017 (67),,£199,"£29,400",,,
32,3 Series,Petrol,2.0L,Automatic,"21,837 miles",4,255 bhp,2019 (19),,£199,"£29,300",,,
33,6 Series,Petrol,3.0L,Automatic,"18,841 miles",4,,2017 (67),,£199,"£29,000",Coupe,182 g/km,
34,6 Series,Petrol,2.0L,Automatic,"20,996 miles",5,248 bhp,2018 (68),42.8,£199,"£29,000",,,
35,X4,Diesel,2.0L,Automatic,"35,720 miles",4,188 bhp,2017 (67),,£199,"£28,800",,,
36,6 Series,Petrol,2.0L,Automatic,"34,217 miles",5,248 bhp,2018 (68),42.8,£199,"£28,700",,,
37,X5,Diesel,3.0L,Automatic,"60,263 miles",5,255 bhp,2015 (15),,£199,"£28,600",,,
38,X5,Hybrid Petrol,2.0L,Automatic,"55,140 miles",5,,2016 (16),,£199,"£28,600",,,05-07-2022
39,3 Series,Hybrid Petrol,2.0L,Automatic,"30,565 miles",4,288 bhp,2019 (69),8.8,£199,"£28,400",,,
