,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,Q8,Diesel,3.0,Automatic,9680,5,282,2019,33.6,Estate,178,BLACK,51500
1,Q8,Diesel,3.0,Automatic,21906,5,282,2019,33.6,Estate,178,BLUE,49250
2,Q7,Diesel,3.0,Automatic,11982,5,282,2019,33.2,Estate,177,Samuraigreymetallic,49000
3,Q7,Diesel,3.0,Automatic,14045,5,282,2019,33.2,Estate,177,DAYTONAGREY,48500
4,Q5,Petrol,2.0,Automatic,25232,5,248,2018,40.4,Estate,159,GLACIERWHITE,34000
5,A5,Diesel,2.0,Automatic,19436,5,161,2020,51.4,Hatchback,143,WHITE,33000
6,A6,Diesel,2.0,Automatic,2627,4,201,2019,50.4,Saloon,118,BRILLIANTBLACK,33000
7,Q7,Diesel,3.0,Automatic,51461,5,215,2015,48.7,Estate,150,BLACK,32200
8,Q5,Diesel,2.0,Automatic,32386,5,188,2019,38.2,Estate,146,IBISWHITE,31900
9,Q5,Diesel,2.0,Automatic,34712,5,188,2019,39.2,Estate,144,BLUE,31800
10,A3,Petrol,1.5,Automatic,2918,4,148,2021,47.9,Saloon,112,GREY,31500
11,Q5,Diesel,2.0,Automatic,21341,5,188,2017,55.4,Estate,133,FLORETSILVER,30900
12,Q5,Diesel,2.0,Automatic,26693,5,188,2018,55.4,Estate,133,GLACIERWHITE,30250
13,Q3,Diesel,2.0,Automatic,9543,5,148,2019,48.7,Estate,124,BLACK,29900
14,A4,Diesel,2.0,Automatic,11611,5,161,2019,49.6,Estate,110,DAYTONAGREY,29700
15,Q7,Diesel,3.0,Automatic,71243,5,268,2015,47.9,Estate,153,PUREWHITE,29600
16,Q5,Diesel,2.0,Automatic,44578,5,188,2018,55.4,Estate,133,GREY,29500
17,A5,Petrol,2.0,Automatic,15275,2,248,2018,43.5,Convertible,149,GREY,29200
18,Q5,Diesel,2.0,Automatic,21186,5,188,2017,55.4,Estate,133,SILVER,29000
19,Q5,Diesel,2.0,Automatic,26591,5,188,2018,56.5,Estate,132,IBISWHITE,29000
20,Q5,Diesel,2.0,Automatic,60890,5,188,2018,55.4,Estate,133,BLACK,29000
21,A3,Petrol,1.5,Automatic,6264,4,148,2020,47.9,Saloon,112,MYTHOSBLACK,28750
22,Q5,Diesel,2.0,Automatic,27574,5,188,2017,55.4,Estate,133,DAYTONAGREY,28600
23,Q5,Diesel,2.0,Automatic,25555,5,188,2017,55.4,Estate,133,BLUE,28500
24,Q5,Diesel,2.0,Automatic,23505,5,188,2018,56.5,Estate,132,BLACK,28500
25,Q5,Diesel,2.0,Automatic,37409,5,188,2017,55.4,Estate,133,FLORETSILVER,28200
26,A5,Petrol,2.0,Automatic,16562,5,249,2018,45.6,Hatchback,141,GREY,28100
27,A7,Diesel,3.0,Automatic,30862,5,268,2017,52.3,Hatchback,142,BLUE,28000
28,Q5,Diesel,2.0,Automatic,49845,5,188,2017,55.4,Estate,133,MYTHOSBLACK,27700
29,Q5,Petrol,2.0,Automatic,37101,5,248,2017,40.9,Estate,157,MANHATTANGREY,27600
30,Q5,Diesel,2.0,Automatic,35166,5,188,2017,56.5,Estate,132,BLACK,27600
31,S3,Petrol,2.0,Automatic,37987,4,306,2018,43.5,Saloon,151,BLUE,27500
32,A6,Diesel,2.0,Automatic,32243,5,201,2019,47.9,Estate,123,Vesuviusgreymetallic,27400
33,A5,Petrol,2.0,Automatic,18415,2,188,2019,37.7,Convertible,140,GREY,27200
34,Q5,Diesel,2.0,Automatic,27652,5,188,2018,56.5,Estate,132,BLACK,27200
