,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,8 Series,Petrol,3.0L,Automatic,933 miles,2,335 bhp,2021 (21),33.6,Coupe,,WHITE,"£54,500"
1,M2,Petrol,3.0L,Automatic,"18,161 miles",2,405 bhp,2019 (69),29.1,Coupe,209 g/km,Long Beach Blue metallic,"£40,100"
2,5 Series,Petrol,3.0L,Automatic,"35,578 miles",5,335 bhp,2018 (68),37.7,Estate,172 g/km,Sophisto Grey Xirallic,"£37,100"
3,X5,Diesel,3.0L,Automatic,"54,064 miles",5,308 bhp,2017 (67),47.1,Estate,159 g/km,WHITE,"£36,900"
4,X5,Diesel,3.0L,Automatic,"34,681 miles",5,308 bhp,2017 (17),47.1,Estate,159 g/km,BLACK,"£35,800"
5,5 Series,Petrol,3.0L,Automatic,"25,134 miles",4,335 bhp,2018 (68),39.2,Saloon,164 g/km,BLACK,"£35,500"
6,X6,Diesel,3.0L,Automatic,"45,740 miles",4,255 bhp,2018 (18),47.1,Coupe,159 g/km,GREY,"£34,500"
7,X3,Diesel,2.0L,Automatic,"11,897 miles",5,188 bhp,2019 (19),54.3,Estate,138 g/km,ALPINE WHITE,"£34,000"
8,X5,Diesel,3.0L,Automatic,"43,237 miles",5,255 bhp,2016 (66),47.1,Estate,158 g/km,WHITE,"£33,700"
9,X5,Diesel,3.0L,Automatic,"58,404 miles",5,255 bhp,2017 (67),47.1,Estate,158 g/km,GREY,"£32,600"
10,X3,Diesel,2.0L,Automatic,"37,639 miles",5,188 bhp,2018 (68),54.3,Estate,138 g/km,BLUE,"£32,300"
11,3 Series,Diesel,2.0L,Automatic,"9,857 miles",5,188 bhp,2020 (69),50.4,Estate,121 g/km,WHITE,"£32,000"
12,3 Series,Hybrid Petrol,2.0L,Automatic,"18,198 miles",4,288 bhp,2019 (69),8.8,Saloon,37 g/km,SUNSET ORANGE,"£32,000"
13,6 Series,Diesel,3.0L,Automatic,"32,054 miles",5,261 bhp,2018 (68),53.3,Hatchback,139 g/km,GREY,"£30,400"
14,X5,Diesel,3.0L,Automatic,"48,237 miles",5,255 bhp,2016 (16),47.1,Estate,158 g/km,WHITE,"£30,300"
15,X6,Diesel,3.0L,Automatic,"60,407 miles",4,308 bhp,2016 (16),44.8,Coupe,165 g/km,SPACE GREY,"£30,000"
16,6 Series,Petrol,3.0L,Automatic,"46,238 miles",2,,2017 (17),,Convertible,184 g/km,Black,"£30,000"
17,3 Series,Petrol,2.0L,Automatic,"6,368 miles",4,181 bhp,2019 (69),42.2,Saloon,129 g/km,MINERAL GREY,"£30,000"
18,X5,Diesel,3.0L,Automatic,"57,269 miles",5,255 bhp,2015 (65),47.1,Estate,158 g/km,BLACK,"£29,900"
19,3 Series,Hybrid Petrol,2.0L,Automatic,"33,553 miles",4,288 bhp,2019 (69),8.8,Saloon,37 g/km,MINERAL GREY,"£29,900"
20,X3,Diesel,3.0L,Automatic,"29,556 miles",5,308 bhp,2017 (67),47.1,Estate,157 g/km,GREY,"£29,800"
21,6 Series,Petrol,2.0L,Automatic,"25,657 miles",5,248 bhp,2018 (68),42.8,Hatchback,152 g/km,BLUE,"£29,700"
22,X3,Diesel,2.0L,Automatic,"41,753 miles",5,188 bhp,2018 (68),54.3,Estate,138 g/km,WHITE,"£29,600"
23,6 Series,Diesel,3.0L,Automatic,"54,947 miles",2,308 bhp,2017 (17),52.3,Coupe,143 g/km,WHITE,"£29,600"
24,6 Series,Petrol,2.0L,Automatic,"20,996 miles",5,248 bhp,2018 (68),42.8,Hatchback,152 g/km,WHITE,"£29,600"
25,6 Series,Diesel,3.0L,Automatic,"26,639 miles",4,308 bhp,2017 (67),49.6,Coupe,152 g/km,SPACE GREY,"£29,450"
26,5 Series,Diesel,2.0L,Automatic,"19,167 miles",4,188 bhp,2018 (68),65.7,Saloon,114 g/km,BLACK,"£29,400"
27,X3,Diesel,2.0L,Automatic,"44,457 miles",5,188 bhp,2018 (67),54.3,Estate,138 g/km,Phytonic Blue Metallic,"£29,100"
28,6 Series,Diesel,3.0L,Automatic,"44,013 miles",5,261 bhp,2018 (68),53.3,Hatchback,139 g/km,GREY,"£29,100"
29,3 Series,Petrol,2.0L,Automatic,"11,249 miles",4,181 bhp,2020 (69),42.2,Saloon,129 g/km,MINERAL GREY,"£29,000"
30,6 Series,Petrol,3.0L,Automatic,"51,046 miles",2,315 bhp,2017 (67),35.8,Convertible,184 g/km,CARBON BLACK,"£29,000"
31,6 Series,Diesel,3.0L,Automatic,"28,229 miles",5,261 bhp,2018 (18),53.3,Hatchback,139 g/km,BLUE,"£28,900"
32,6 Series,Petrol,3.0L,Automatic,"28,680 miles",2,315 bhp,2015 (65),35.8,Convertible,184 g/km,WHITE,"£28,900"
33,X5,Diesel,3.0L,Automatic,"60,263 miles",5,255 bhp,2015 (15),47.1,Estate,158 g/km,BLACK,"£28,700"
34,6 Series,Petrol,2.0L,Automatic,"34,217 miles",5,248 bhp,2018 (68),42.8,Hatchback,152 g/km,BLUE,"£28,700"
35,X5,Diesel,3.0L,Automatic,"42,545 miles",5,255 bhp,2014 (64),47.1,Estate,158 g/km,GREY,"£28,600"
36,X3,Diesel,3.0L,Automatic,"19,925 miles",5,308 bhp,2016 (66),47.1,Estate,157 g/km,WHITE,"£28,600"
37,X5,Hybrid Petrol,2.0L,Automatic,"55,140 miles",5,,2016 (16),,Estate,77 g/km,BLACK,"£28,500"
38,3 Series,Petrol,2.0L,Automatic,"21,837 miles",4,255 bhp,2019 (19),41.5,Saloon,134 g/km,BLACK SAPPHIRE,"£28,500"
39,X2,Petrol,2.0L,Automatic,"15,424 miles",5,189 bhp,2019 (19),39.2,Hatchback,134 g/km,ALPINE WHITE,"£28,100"
40,7 Series,Diesel,3.0L,Automatic,"44,615 miles",4,261 bhp,2017 (17),57.7,Saloon,129 g/km,BLACK,"£28,000"
41,3 Series,Petrol,2.0L,Automatic,"12,724 miles",4,181 bhp,2019 (19),42.2,Saloon,129 g/km,Portimao Blue - Metallic,"£28,000"
42,X1,Petrol,2.0L,Automatic,"24,484 miles",5,189 bhp,2019 (69),48.7,Estate,129 g/km,MINERAL WHITE,"£28,000"
43,6 Series,Diesel,3.0L,Automatic,"26,166 miles",4,308 bhp,2018 (18),49.6,Coupe,152 g/km,BLACK,"£28,000"
44,X4,Diesel,2.0L,Automatic,"35,720 miles",4,188 bhp,2017 (67),54.3,Coupe,138 g/km,BLACK SAPPHIRE,"£27,800"
45,3 Series,Petrol,2.0L,Automatic,"11,412 miles",5,181 bhp,2019 (19),47.9,Estate,138 g/km,MINERAL GREY,"£27,600"
46,X4,Diesel,3.0L,Automatic,"31,885 miles",4,255 bhp,2016 (16),47.9,Coupe,156 g/km,MELBOURNE RED,"£27,500"
