,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,I-Pace,Electric,,Automatic,"3,816 miles",5,394 bhp,2021 (21),,Hatchback,,BLACK,"£61,300"
1,I-Pace,Electric,,Automatic,"4,654 miles",5,394 bhp,2020 (20),1.0,Hatchback,,BLUE,"£53,400"
2,F-Pace,Petrol,2.0L,Automatic,"30,447 miles",5,296 bhp,2018 (68),28.0,Estate,185 g/km,RED,"£36,500"
3,F-Pace,Diesel,3.0L,Automatic,"64,719 miles",5,296 bhp,2016 (16),47.1,Estate,159 g/km,BLACK,"£34,100"
4,F-Pace,Diesel,2.0L,Automatic,"25,984 miles",5,178 bhp,2019 (69),42.2,Estate,151 g/km,GREY,"£34,000"
5,XF,Diesel,3.0L,Automatic,"27,127 miles",5,296 bhp,2019 (19),45.6,Estate,164 g/km,RED,"£33,000"
6,F-Pace,Diesel,3.0L,Automatic,"42,693 miles",5,296 bhp,2016 (66),47.1,Estate,159 g/km,RED,"£32,900"
7,E-Pace,Diesel,2.0L,Automatic,"17,915 miles",5,178 bhp,2018 (68),39.2,Estate,162 g/km,WHITE,"£32,000"
8,E-Pace,Diesel,2.0L,Automatic,"10,394 miles",5,178 bhp,2018 (68),39.2,Estate,158 g/km,RED,"£30,500"
9,F-Pace,Diesel,2.0L,Automatic,"40,689 miles",5,177 bhp,2016 (66),53.3,Estate,139 g/km,SILVER,"£29,500"
10,F-Pace,Diesel,2.0L,Automatic,"19,371 miles",5,177 bhp,2017 (67),53.3,Estate,139 g/km,GREY,"£29,250"
11,XF,Diesel,3.0L,Automatic,"39,815 miles",5,296 bhp,2018 (67),47.9,Estate,154 g/km,INDUS SILVER,"£28,000"
12,F-Pace,Diesel,2.0L,Automatic,"52,771 miles",5,177 bhp,2017 (67),53.3,Estate,139 g/km,WHITE,"£27,800"
13,F-Pace,Diesel,2.0L,Manual,"20,675 miles",5,177 bhp,2017 (67),54.3,Estate,134 g/km,BRITISH RACING GREEN,"£27,000"
14,F-Pace,Diesel,2.0L,Automatic,"39,976 miles",5,177 bhp,2017 (67),53.3,Estate,139 g/km,BLACK,"£27,000"
15,XJ,Diesel,3.0L,Automatic,"36,772 miles",4,296 bhp,2015 (65),49.6,Saloon,149 g/km,Santorini Black metallic,"£26,300"
16,XF,Petrol,2.0L,Automatic,"23,222 miles",4,296 bhp,2019 (69),32.5,Saloon,171 g/km,BLUE,"£26,300"
17,XJ,Diesel,3.0L,Automatic,"29,458 miles",4,296 bhp,2016 (65),49.6,Saloon,149 g/km,INDUS SILVER,"£25,500"
18,F-Pace,Diesel,2.0L,Automatic,"45,513 miles",5,177 bhp,2017 (17),53.3,Estate,139 g/km,GREEN,"£25,500"
19,XE,Petrol,2.0L,Automatic,"19,044 miles",4,247 bhp,2019 (69),36.2,Saloon,159 g/km,Caesium Blue - metallic,"£25,300"
20,XF,Diesel,3.0L,Automatic,"34,260 miles",4,296 bhp,2017 (66),51.4,Saloon,144 g/km,Rossello Red - metallic,"£24,700"
21,XF,Petrol,2.0L,Automatic,"44,441 miles",5,247 bhp,2018 (68),37.7,Estate,170 g/km,WHITE,"£23,600"
22,XF,Diesel,3.0L,Automatic,"32,577 miles",4,296 bhp,2015 (65),51.4,Saloon,144 g/km,WHITE,"£23,100"
23,XE,Petrol,2.0L,Manual,"30,231 miles",4,,2019 (68),,Saloon,162 g/km,BLUE,"£22,800"
24,XE,Petrol,2.0L,Automatic,"24,952 miles",4,197 bhp,2018 (68),34.0,Saloon,165 g/km,NARVIK BLACK,"£22,700"
25,XF,Petrol,3.0L,Automatic,"52,158 miles",4,375 bhp,2016 (16),34.0,Saloon,198 g/km,RED,"£22,500"
26,XE,Petrol,2.0L,Automatic,"27,717 miles",4,247 bhp,2018 (68),34.5,Saloon,162 g/km,Caesium Blue - metallic,"£22,500"
27,XE,Petrol,2.0L,Automatic,"28,071 miles",4,197 bhp,2018 (68),34.0,Saloon,165 g/km,BLUE,"£22,500"
28,XF,Petrol,2.0L,Automatic,"22,925 miles",4,247 bhp,2018 (68),38.7,Saloon,166 g/km,Santorini Black metallic,"£22,400"
29,XF,Diesel,3.0L,Automatic,"53,397 miles",4,296 bhp,2016 (66),51.4,Saloon,144 g/km,GREY,"£22,100"
30,XF,Diesel,2.0L,Automatic,"34,611 miles",4,177 bhp,2018 (68),54.3,Saloon,138 g/km,GREY,"£21,600"
31,XE,Petrol,2.0L,Automatic,"25,105 miles",4,197 bhp,2018 (68),34.0,Saloon,165 g/km,BLACK,"£21,500"
32,XE,Diesel,2.0L,Automatic,"44,326 miles",4,177 bhp,2018 (68),42.8,Saloon,148 g/km,BLUE,"£21,300"
33,XF,Diesel,2.0L,Automatic,"29,012 miles",4,177 bhp,2018 (68),54.3,Saloon,138 g/km,RED,"£21,000"
34,XE,Petrol,2.0L,Automatic,"29,065 miles",4,197 bhp,2018 (68),34.0,Saloon,165 g/km,BLUE,"£21,000"
35,XE,Petrol,2.0L,Automatic,"38,192 miles",4,197 bhp,2018 (68),34.0,Saloon,165 g/km,WHITE,"£21,000"
36,XF,Diesel,2.0L,Automatic,"29,202 miles",4,177 bhp,2018 (68),54.3,Saloon,138 g/km,CORRIS GREY,"£21,000"
37,XE,Petrol,2.0L,Automatic,"23,129 miles",4,197 bhp,2017 (67),44.8,Saloon,144 g/km,BLUE,"£20,700"
38,XF,Diesel,3.0L,Automatic,"67,569 miles",4,296 bhp,2016 (65),51.4,Saloon,144 g/km,Santorini Black metallic,"£19,900"
39,XF,Diesel,2.0L,Automatic,"35,795 miles",4,177 bhp,2017 (67),65.7,Saloon,114 g/km,WHITE,"£19,750"
40,XE,Diesel,2.0L,Automatic,"22,006 miles",4,177 bhp,2016 (16),67.3,Saloon,111 g/km,BLUE,"£19,600"
41,XE,Petrol,2.0L,Automatic,"38,830 miles",4,197 bhp,2017 (67),44.8,Saloon,144 g/km,RED,"£19,500"
42,XE,Diesel,2.0L,Automatic,"39,547 miles",4,177 bhp,2017 (67),67.3,Saloon,111 g/km,RED,"£19,500"
43,XF,Diesel,2.0L,Automatic,"23,554 miles",4,177 bhp,2017 (17),65.7,Saloon,114 g/km,RED,"£19,300"
44,XE,Diesel,2.0L,Automatic,"40,389 miles",4,177 bhp,2017 (67),67.3,Saloon,111 g/km,RED,"£19,100"
45,XE,Diesel,2.0L,Automatic,"29,941 miles",4,177 bhp,2018 (68),48.7,Saloon,141 g/km,RED,"£19,000"
46,XF,Diesel,2.0L,Automatic,"41,195 miles",4,177 bhp,2017 (66),65.7,Saloon,114 g/km,GREY,"£19,000"
47,XF,Diesel,2.0L,Manual,"35,274 miles",4,177 bhp,2017 (67),65.7,Saloon,114 g/km,WHITE,"£19,000"
48,XJ,Diesel,3.0L,Automatic,"72,068 miles",4,275 bhp,2015 (15),43.5,Saloon,171 g/km,Dark Sapphire Metallic,"£18,950"
49,XE,Diesel,2.0L,Automatic,"32,862 miles",4,177 bhp,2016 (66),67.3,Saloon,111 g/km,GREY,"£18,900"
50,XE,Diesel,2.0L,Automatic,"37,577 miles",4,177 bhp,2017 (66),60.1,Saloon,123 g/km,BLACK,"£18,800"
51,XF,Diesel,2.0L,Automatic,"31,502 miles",4,177 bhp,2016 (66),65.7,Saloon,114 g/km,RED,"£18,600"
52,XE,Diesel,2.0L,Automatic,"31,965 miles",4,161 bhp,2017 (67),68.9,Saloon,106 g/km,BLUE,"£18,600"
53,XE,Diesel,2.0L,Automatic,"37,284 miles",4,177 bhp,2016 (16),67.3,Saloon,111 g/km,BRONZE,"£18,600"
54,XE,Petrol,2.0L,Automatic,"51,515 miles",4,247 bhp,2017 (67),44.8,Saloon,144 g/km,Caesium Blue - metallic,"£18,500"
55,XF,Diesel,3.0L,Automatic,"59,946 miles",5,275 bhp,2014 (64),45.6,Estate,163 g/km,WHITE,"£18,500"
56,XE,Petrol,2.0L,Automatic,"55,201 miles",4,197 bhp,2018 (18),44.8,Saloon,144 g/km,CORRIS GREY,"£18,500"
57,XE,Diesel,2.0L,Automatic,"33,632 miles",4,177 bhp,2016 (66),67.3,Saloon,111 g/km,WHITE,"£18,400"
58,XE,Diesel,2.0L,Automatic,"40,618 miles",4,161 bhp,2018 (68),50.4,Saloon,135 g/km,CORRIS GREY,"£18,300"
59,XE,Petrol,2.0L,Automatic,"31,564 miles",4,237 bhp,2016 (65),37.7,Saloon,179 g/km,BLUE,"£18,300"
60,XE,Diesel,2.0L,Manual,"32,443 miles",4,177 bhp,2017 (17),67.3,Saloon,109 g/km,WHITE,"£18,200"
