,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,Sorento,Diesel,2.2L,Automatic,"42,453 miles",5,197 bhp,2019 (19),38.2,Estate,161 g/km,GREY,"£29,000"
1,Sportage,Diesel,1.6L,Manual,"21,148 miles",5,134 bhp,2018 (68),44.1,Estate,135 g/km,WHITE,"£23,000"
2,Sportage,Diesel,1.6L,Automatic,"55,415 miles",5,134 bhp,2018 (68),44.8,Estate,128 g/km,GREY,"£22,400"
3,Niro,Hybrid Petrol,1.6L,Automatic,"21,800 miles",5,139 bhp,2018 (68),54.3,Estate,29 g/km,WHITE,"£21,900"
4,Sportage,Diesel,1.7L,Automatic,"17,425 miles",5,139 bhp,2017 (67),57.7,Estate,129 g/km,WHITE,"£21,600"
5,Niro,Hybrid Petrol,1.6L,Automatic,"3,541 miles",5,139 bhp,2019 (69),58.9,Estate,86 g/km,BLUE,"£21,300"
6,Sportage,Diesel,1.7L,Manual,"20,057 miles",5,114 bhp,2018 (18),61.4,Estate,119 g/km,WHITE,"£20,800"
7,Sorento,Diesel,2.2L,Automatic,"71,628 miles",5,197 bhp,2015 (15),42.2,Estate,177 g/km,WHITE,"£20,600"
8,Sportage,Diesel,1.6L,Automatic,"43,881 miles",5,134 bhp,2018 (68),43.5,Estate,137 g/km,SILVER,"£20,400"
9,Sportage,Diesel,2.0L,Automatic,"27,288 miles",5,134 bhp,2016 (66),47.9,Estate,154 g/km,SILVER,"£20,200"
10,Sportage,Petrol,1.6L,Manual,"13,165 miles",5,174 bhp,2019 (19),32.1,Estate,178 g/km,BLACK,"£20,200"
11,Sportage,Diesel,1.7L,Manual,"27,074 miles",5,114 bhp,2018 (18),61.4,Estate,119 g/km,WHITE,"£20,100"
12,Sportage,Diesel,1.6L,Manual,"33,430 miles",5,134 bhp,2018 (68),46.3,Estate,130 g/km,WHITE,"£19,600"
13,Sportage,Diesel,1.7L,Manual,"20,617 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,RED,"£19,500"
14,Sportage,Diesel,1.7L,Manual,"34,795 miles",5,114 bhp,2018 (68),61.4,Estate,119 g/km,BLACK,"£19,400"
15,Niro,Hybrid Petrol,1.6L,Automatic,"50,906 miles",5,,2019 (19),,Estate,100 g/km,WHITE,"£18,700"
16,Sportage,Diesel,1.7L,Manual,"45,266 miles",5,114 bhp,2018 (18),61.4,Estate,119 g/km,BLACK,"£18,400"
17,Sportage,Diesel,1.7L,Manual,"49,724 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BLACK,"£17,900"
18,Sportage,Diesel,1.7L,Manual,"30,825 miles",5,114 bhp,2016 (66),61.4,Estate,119 g/km,WHITE,"£17,900"
19,Sportage,Diesel,2.0L,Manual,"39,429 miles",5,134 bhp,2017 (66),54.3,Estate,139 g/km,SILVER,"£17,800"
20,Sportage,Diesel,1.7L,Manual,"39,438 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BLACK,"£17,600"
21,Sportage,Petrol,1.6L,Manual,"30,670 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,BLACK,"£17,600"
22,Sportage,Diesel,1.7L,Manual,"28,912 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,BLACK,"£17,500"
23,Sportage,Petrol,1.6L,Manual,"41,689 miles",5,130 bhp,2019 (19),34.9,Estate,156 g/km,RED,"£17,400"
24,Sportage,Diesel,1.7L,Manual,"22,760 miles",5,114 bhp,2018 (68),61.4,Estate,119 g/km,SILVER,"£17,250"
25,Sportage,Petrol,1.6L,Manual,"37,312 miles",5,130 bhp,2018 (18),34.9,Estate,162 g/km,GREY,"£17,200"
26,Sportage,Petrol,1.6L,Manual,"40,425 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,BLACK,"£17,200"
27,Sportage,Diesel,1.7L,Automatic,"47,526 miles",5,139 bhp,2017 (67),57.7,Estate,129 g/km,BLUE,"£17,100"
28,Sportage,Petrol,1.6L,Manual,"38,374 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,BLACK,"£17,000"
29,Sportage,Petrol,1.6L,Manual,"52,909 miles",5,130 bhp,2018 (68),34.9,Estate,162 g/km,RED,"£16,900"
30,Sportage,Petrol,1.6L,Manual,"33,102 miles",5,130 bhp,2017 (66),44.8,Estate,147 g/km,BLUE,"£16,100"
31,Sportage,Petrol,1.6L,Manual,"61,253 miles",5,130 bhp,2018 (18),34.9,Estate,162 g/km,RED,"£16,000"
32,Sportage,Diesel,2.0L,Manual,"60,404 miles",5,134 bhp,2016 (16),54.3,Estate,139 g/km,SILVER,"£15,900"
33,Sportage,Petrol,1.6L,Manual,"38,911 miles",5,130 bhp,2018 (18),44.8,Estate,147 g/km,SILVER,"£15,900"
34,Stonic,Petrol,1.0L,Manual,"19,650 miles",5,118 bhp,2019 (19),47.1,Hatchback,130 g/km,YELLOW,"£15,900"
35,Sportage,Diesel,1.7L,Manual,"25,739 miles",5,114 bhp,2016 (16),61.4,Estate,119 g/km,BLACK,"£15,800"
36,Optima,Diesel,1.6L,Manual,"34,148 miles",5,134 bhp,2018 (68),52.3,Estate,121 g/km,SILVER,"£15,600"
37,Sportage,Diesel,1.7L,Manual,"52,015 miles",5,114 bhp,2017 (67),61.4,Estate,119 g/km,RED,"£15,500"
38,Sportage,Diesel,1.7L,Manual,"73,501 miles",5,114 bhp,2018 (68),61.4,Estate,119 g/km,RED,"£15,500"
39,Sportage,Diesel,2.0L,Manual,"57,995 miles",5,134 bhp,2016 (66),54.3,Estate,139 g/km,RED,"£15,500"
