,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,GLC,Diesel,2.0L,Automatic,"13,616 miles",5,241 bhp,2019 (69),40.9,Estate,124 g/km,BLACK,"£41,200"
1,E Class,Diesel,2.0L,Automatic,"7,725 miles",2,191 bhp,2020 (70),70.6,Coupe,106 g/km,BLACK,"£37,500"
2,E Class,Diesel,2.9L,Automatic,"15,244 miles",4,335 bhp,2019 (19),48.7,Saloon,154 g/km,GREY,"£36,000"
3,E Class,Petrol,2.0L,Automatic,"17,292 miles",2,241 bhp,2019 (19),40.4,Coupe,160 g/km,BLACK,"£35,500"
4,GLC,Diesel,2.0L,Automatic,"10,821 miles",5,191 bhp,2019 (69),44.8,Estate,124 g/km,BLUE,"£35,500"
5,GLC,Petrol,2.0L,Automatic,"11,365 miles",5,208 bhp,2019 (68),43.5,Estate,152 g/km,GREY,"£34,800"
6,GLC,Diesel,2.1L,Automatic,"17,645 miles",5,168 bhp,2019 (69),39.2,Estate,156 g/km,BLACK,"£34,750"
7,E Class,Petrol,2.0L,Automatic,"27,424 miles",2,241 bhp,2018 (68),39.2,Convertible,167 g/km,RED,"£33,800"
8,E Class,Petrol,2.0L,Automatic,"12,658 miles",2,241 bhp,2019 (19),39.2,Convertible,167 g/km,WHITE,"£33,700"
9,E Class,Petrol,2.0L,Automatic,"29,831 miles",2,241 bhp,2018 (68),39.2,Convertible,167 g/km,BLACK,"£33,500"
10,GLC,Diesel,2.1L,Automatic,"27,853 miles",5,168 bhp,2018 (18),56.5,Estate,129 g/km,WHITE,"£33,450"
11,Gle,Diesel,2.1L,Automatic,"37,101 miles",5,201 bhp,2017 (66),47.9,Estate,156 g/km,BLACK,"£33,400"
12,GLC,Diesel,2.1L,Automatic,"26,513 miles",4,168 bhp,2017 (66),56.5,Coupe,131 g/km,SILVER,"£33,200"
13,GLC,Diesel,2.1L,Automatic,"21,731 miles",5,201 bhp,2018 (18),56.5,Estate,129 g/km,WHITE,"£32,700"
14,GLC,Diesel,2.1L,Automatic,"33,626 miles",5,201 bhp,2018 (67),56.5,Estate,129 g/km,WHITE,"£32,700"
15,GLC,Diesel,3.0L,Automatic,"32,939 miles",4,255 bhp,2017 (67),47.1,Coupe,161 g/km,GREY,"£32,500"
16,E Class,Petrol,2.0L,Automatic,"21,462 miles",2,241 bhp,2019 (19),39.2,Convertible,167 g/km,WHITE,"£32,400"
17,E Class,Petrol,2.0L,Automatic,"6,702 miles",2,241 bhp,2018 (68),39.2,Convertible,167 g/km,BLACK,"£32,250"
18,E Class,Diesel,2.0L,Automatic,"12,036 miles",2,191 bhp,2019 (19),57.7,Convertible,126 g/km,GREY,"£32,200"
19,GLC,Petrol,2.0L,Automatic,"63,546 miles",5,208 bhp,2018 (68),43.5,Estate,152 g/km,BLACK,"£32,000"
20,Gle,Diesel,3.0L,Automatic,"35,878 miles",5,255 bhp,2017 (17),42.8,Estate,179 g/km,SILVER,"£31,950"
21,E Class,Petrol,2.0L,Automatic,"32,382 miles",2,241 bhp,2019 (69),40.4,Coupe,160 g/km,WHITE,"£31,760"
22,C Class,Diesel,2.0L,Automatic,"10,841 miles",4,241 bhp,2019 (69),49.6,Saloon,130 g/km,WHITE,"£31,700"
23,GLC,Diesel,2.1L,Automatic,"37,523 miles",5,168 bhp,2018 (68),56.5,Estate,129 g/km,SILVER,"£31,700"
24,G Series,Diesel,3.0L,Automatic,"59,647 miles",5,258 bhp,2015 (15),35.3,Estate,209 g/km,BLACK,"£31,700"
25,GLC,Diesel,2.1L,Automatic,"26,859 miles",5,168 bhp,2018 (68),56.5,Estate,129 g/km,RED,"£31,500"
26,C Class,Diesel,2.0L,Automatic,"14,011 miles",4,241 bhp,2019 (69),49.6,Saloon,130 g/km,SILVER,"£31,300"
27,E Class,Petrol,2.0L,Automatic,"17,251 miles",5,181 bhp,2019 (19),32.1,Estate,172 g/km,GREY,"£31,300"
28,GLC,Diesel,2.1L,Automatic,"38,934 miles",5,201 bhp,2016 (66),56.5,Estate,129 g/km,WHITE,"£31,200"
29,Gle,Diesel,2.1L,Automatic,"44,245 miles",5,201 bhp,2017 (17),47.9,Estate,156 g/km,BLACK,"£31,200"
