,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,LEAF,Electric,,Automatic,"7,176 miles",5,215 bhp,2020 (69),1.0,Hatchback,,WHITE,"£27,000"
1,X-Trail,Petrol,1.6L,Manual,"6,103 miles",5,163 bhp,2018 (68),44.1,Estate,149 g/km,BLACK,"£25,500"
2,Qashqai,Petrol,1.3L,Automatic,"1,756 miles",5,158 bhp,2020 (20),39.8,Hatchback,131 g/km,BLUE,"£23,400"
3,X-Trail,Diesel,1.6L,Manual,"38,891 miles",5,130 bhp,2018 (68),55.4,Estate,133 g/km,BLACK,"£22,700"
4,X-Trail,Diesel,1.6L,Manual,"9,523 miles",5,130 bhp,2018 (18),55.4,Estate,133 g/km,SILVER,"£22,100"
5,LEAF,Electric,,Automatic,"4,638 miles",5,148 bhp,2020 (20),1.0,Hatchback,,GREY,"£22,000"
6,Qashqai,Petrol,1.3L,Manual,"12,015 miles",5,158 bhp,2018 (68),39.8,Hatchback,130 g/km,BLUE,"£22,000"
7,Qashqai,Petrol,1.2L,Automatic,"10,756 miles",5,113 bhp,2018 (18),50.4,Hatchback,133 g/km,BLUE,"£21,500"
8,Juke,Petrol,1.0L,Automatic,"4,894 miles",5,115 bhp,2020 (70),46.3,Hatchback,136 g/km,GREY,"£21,000"
9,Qashqai,Diesel,1.5L,Manual,"20,712 miles",5,114 bhp,2018 (68),51.4,Hatchback,110 g/km,BLUE,"£20,800"
10,Qashqai,Petrol,1.2L,Automatic,"10,521 miles",5,113 bhp,2018 (18),50.4,Hatchback,133 g/km,RED,"£20,000"
11,Qashqai,Diesel,1.5L,Manual,"35,377 miles",5,114 bhp,2019 (68),51.4,Hatchback,110 g/km,GREY,"£20,000"
12,Qashqai,Diesel,1.6L,Automatic,"36,449 miles",5,128 bhp,2017 (67),60.1,Hatchback,122 g/km,WHITE,"£19,900"
13,Qashqai,Petrol,1.2L,Automatic,"19,703 miles",5,113 bhp,2018 (18),50.4,Hatchback,133 g/km,SILVER,"£19,900"
14,Qashqai,Petrol,1.2L,Manual,"11,991 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,GREY,"£19,800"
15,X-Trail,Diesel,1.6L,Automatic,"32,551 miles",5,130 bhp,2018 (18),55.4,Estate,135 g/km,BLUE,"£19,600"
16,Juke,Petrol,1.0L,Manual,"8,433 miles",5,115 bhp,2020 (20),46.3,Hatchback,142 g/km,GREY,"£19,600"
17,Qashqai,Petrol,1.3L,Manual,"23,571 miles",5,140 bhp,2019 (19),39.2,Hatchback,130 g/km,SILVER,"£19,100"
18,Qashqai,Petrol,1.2L,Manual,"18,763 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,GREY,"£19,100"
19,X-Trail,Diesel,1.6L,Manual,"23,808 miles",5,130 bhp,2018 (18),55.4,Estate,133 g/km,BLUE,"£19,100"
20,Qashqai,Petrol,1.2L,Manual,"27,491 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,SILVER,"£19,000"
21,Qashqai,Petrol,1.6L,Manual,"19,580 miles",5,163 bhp,2018 (68),48.7,Hatchback,134 g/km,SILVER,"£19,000"
22,Qashqai,Diesel,1.6L,Automatic,"41,737 miles",5,128 bhp,2017 (67),60.1,Hatchback,122 g/km,GREY,"£18,800"
23,Qashqai,Petrol,1.2L,Manual,"24,743 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLACK,"£18,600"
24,Qashqai,Petrol,1.2L,Manual,"5,956 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,RED,"£18,500"
25,Qashqai,Diesel,1.5L,Manual,"28,889 miles",5,108 bhp,2018 (68),74.3,Hatchback,99 g/km,SILVER,"£18,500"
26,LEAF,Electric,,Automatic,"38,841 miles",5,148 bhp,2018 (68),1.0,Hatchback,,BLACK,"£18,500"
27,Qashqai,Petrol,1.2L,Manual,"14,216 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLUE,"£18,500"
28,Qashqai,Diesel,1.5L,Manual,"23,360 miles",5,108 bhp,2018 (68),74.3,Hatchback,99 g/km,RED,"£18,500"
29,Qashqai,Diesel,1.5L,Manual,"28,767 miles",5,114 bhp,2018 (68),51.4,Hatchback,110 g/km,GREY,"£18,350"
30,Qashqai,Diesel,1.5L,Manual,"35,970 miles",5,108 bhp,2017 (17),74.3,Hatchback,99 g/km,BLUE,"£18,300"
31,Qashqai,Diesel,1.5L,Manual,"24,170 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLACK,"£18,300"
32,X-Trail,Diesel,1.6L,Automatic,"44,250 miles",5,130 bhp,2017 (17),53.3,Estate,139 g/km,BLACK,"£18,000"
33,Qashqai,Petrol,1.2L,Manual,"20,879 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLACK,"£18,000"
34,Qashqai,Petrol,1.2L,Manual,"22,669 miles",5,113 bhp,2017 (67),50.4,Hatchback,129 g/km,GREY,"£18,000"
35,Qashqai,Petrol,1.3L,Manual,"18,270 miles",5,140 bhp,2019 (19),40.4,Hatchback,130 g/km,BLACK,"£18,000"
36,Qashqai,Diesel,1.5L,Manual,"33,349 miles",5,108 bhp,2018 (68),74.3,Hatchback,99 g/km,GREY,"£17,900"
37,Qashqai,Petrol,1.2L,Manual,"26,995 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,WHITE,"£17,900"
38,Qashqai,Diesel,1.5L,Manual,"21,146 miles",5,114 bhp,2018 (68),52.3,Hatchback,110 g/km,BLUE,"£17,800"
39,Qashqai,Diesel,1.5L,Manual,"40,146 miles",5,108 bhp,2017 (67),74.3,Hatchback,99 g/km,BLUE,"£17,800"
40,Qashqai,Petrol,1.2L,Manual,"19,162 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£17,800"
41,Qashqai,Petrol,1.2L,Manual,"19,586 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,BLACK,"£17,700"
42,Qashqai,Petrol,1.2L,Manual,"11,842 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,GREY,"£17,700"
43,Qashqai,Petrol,1.2L,Manual,"30,231 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,GREY,"£17,700"
44,Qashqai,Petrol,1.3L,Manual,"30,210 miles",5,158 bhp,2020 (20),41.5,Hatchback,121 g/km,BRONZE,"£17,700"
45,Qashqai,Petrol,1.2L,Manual,"26,380 miles",5,113 bhp,2017 (67),50.4,Hatchback,129 g/km,BLACK,"£17,600"
46,Qashqai,Diesel,1.6L,Manual,"15,998 miles",5,128 bhp,2018 (18),64.2,Hatchback,116 g/km,SILVER,"£17,500"
47,Qashqai,Diesel,1.5L,Manual,"32,382 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLUE,"£17,500"
48,Qashqai,Petrol,1.2L,Manual,"22,570 miles",5,113 bhp,2017 (67),50.4,Hatchback,129 g/km,BLACK,"£17,500"
49,Qashqai,Diesel,1.6L,Manual,"17,810 miles",5,128 bhp,2018 (18),64.2,Hatchback,116 g/km,BLACK,"£17,500"
50,Qashqai,Petrol,1.2L,Manual,"21,337 miles",5,113 bhp,2018 (68),50.4,Hatchback,129 g/km,RED,"£17,500"
51,Qashqai,Diesel,1.5L,Manual,"37,053 miles",5,114 bhp,2018 (68),52.3,Hatchback,110 g/km,GREY,"£17,500"
52,Qashqai,Petrol,1.2L,Manual,"20,517 miles",5,113 bhp,2018 (18),50.4,Hatchback,129 g/km,BLUE,"£17,500"
53,Qashqai,Diesel,1.5L,Manual,"15,740 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,GREY,"£17,500"
