,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,5008,Diesel,1.5L,Manual,"37,613 miles",5,129 bhp,2018 (18),67.3,MPV,109 g/km,BLACK,"£27,000"
1,5008,Diesel,1.5L,Manual,"17,356 miles",5,129 bhp,2019 (19),55.4,MPV,111 g/km,AMAZONITE GREY,"£26,700"
2,3008,Diesel,2.0L,Automatic,"20,200 miles",5,180 bhp,2017 (67),58.9,Hatchback,124 g/km,BLACK,"£24,800"
3,3008,Diesel,1.5L,Automatic,"12,393 miles",5,129 bhp,2018 (18),68.9,Hatchback,108 g/km,NERA BLACK,"£24,000"
4,3008,Diesel,1.5L,Automatic,"6,075 miles",5,129 bhp,2019 (69),56.5,Hatchback,107 g/km,GREY,"£22,200"
5,3008,Diesel,1.5L,Automatic,"46,319 miles",5,129 bhp,2018 (68),68.9,Hatchback,108 g/km,BLACK,"£21,600"
6,3008,Diesel,1.5L,Manual,"37,190 miles",5,129 bhp,2019 (19),67.3,Hatchback,109 g/km,NERA BLACK,"£20,900"
7,3008,Petrol,1.6L,Automatic,"35,505 miles",5,165 bhp,2017 (67),48.7,Hatchback,129 g/km,SUNSET COOPER BRONZE,"£20,800"
8,3008,Diesel,1.6L,Manual,"34,410 miles",5,120 bhp,2017 (67),70.6,Hatchback,104 g/km,SUNSET COOPER BRONZE,"£20,300"
9,3008,Petrol,1.2L,Manual,"32,034 miles",5,129 bhp,2018 (68),44.1,Hatchback,120 g/km,NERA BLACK,"£19,900"
10,3008,Diesel,1.5L,Manual,"30,620 miles",5,129 bhp,2018 (68),67.3,Hatchback,109 g/km,MAGNETIC BLUE,"£19,800"
11,3008,Petrol,1.2L,Manual,"12,297 miles",5,129 bhp,2019 (68),44.1,Hatchback,119 g/km,BLUE,"£19,800"
12,3008,Diesel,1.6L,Manual,"29,986 miles",5,120 bhp,2018 (18),70.6,Hatchback,104 g/km,AMAZONITE GREY,"£19,000"
13,3008,Petrol,1.2L,Manual,"13,865 miles",5,129 bhp,2018 (68),44.1,Hatchback,120 g/km,BLUE,"£18,900"
14,3008,Petrol,1.2L,Manual,"39,430 miles",5,130 bhp,2018 (18),55.4,Hatchback,117 g/km,SUNSET COOPER BRONZE,"£18,500"
15,3008,Diesel,1.5L,Manual,"60,382 miles",5,129 bhp,2018 (68),67.3,Hatchback,109 g/km,Bianca White,"£18,400"
16,3008,Diesel,1.6L,Manual,"50,367 miles",5,120 bhp,2018 (18),70.6,Hatchback,104 g/km,BLACK,"£17,100"
17,3008,Diesel,1.5L,Manual,"35,650 miles",5,129 bhp,2018 (68),68.9,Hatchback,108 g/km,GREY,"£16,500"
18,3008,Diesel,1.6L,Manual,"33,131 miles",5,120 bhp,2017 (66),70.6,Hatchback,104 g/km,BRONZE,"£16,300"
19,3008,Diesel,1.5L,Manual,"60,068 miles",5,129 bhp,2018 (18),67.3,Hatchback,109 g/km,SUNSET COOPER BRONZE,"£15,500"
20,308,Petrol,1.2L,Manual,"15,302 miles",5,129 bhp,2018 (68),56.5,Hatchback,116 g/km,CUMULUS GREY,"£14,500"
21,308,Petrol,1.2L,Manual,"24,008 miles",5,129 bhp,2018 (68),56.5,Hatchback,116 g/km,CUMULUS GREY,"£14,000"
22,308,Petrol,1.2L,Manual,"17,742 miles",5,129 bhp,2018 (68),56.5,Hatchback,116 g/km,CUMULUS GREY,"£13,700"
23,308,Diesel,1.5L,Manual,"34,024 miles",5,129 bhp,2018 (68),72.4,Estate,96 g/km,BLUE,"£13,600"
24,2008,Petrol,1.2L,Manual,"6,326 miles",5,82 bhp,2018 (68),56.5,Hatchback,114 g/km,NIMBUS GREY,"£13,500"
25,2008,Petrol,1.2L,Manual,"16,391 miles",5,82 bhp,2018 (68),56.5,Hatchback,114 g/km,CUMULUS GREY,"£13,000"
26,2008,Petrol,1.2L,Manual,"9,631 miles",5,82 bhp,2018 (68),56.5,Hatchback,114 g/km,GREY,"£13,000"
27,308,Diesel,1.5L,Manual,"20,718 miles",5,129 bhp,2019 (69),62.8,Hatchback,92 g/km,GREY,"£12,800"
28,308,Petrol,1.2L,Manual,"43,045 miles",5,129 bhp,2018 (68),49.6,Hatchback,119 g/km,BLACK,"£12,600"
29,2008,Petrol,1.2L,Manual,"21,082 miles",5,82 bhp,2018 (68),56.5,Hatchback,114 g/km,GREY,"£12,500"
30,2008,Petrol,1.2L,Manual,"26,778 miles",5,82 bhp,2018 (68),56.5,Hatchback,114 g/km,CUMULUS GREY,"£12,500"
31,308,Diesel,1.5L,Manual,"27,349 miles",5,129 bhp,2018 (68),76.4,Hatchback,96 g/km,GREY,"£12,200"
32,2008,Petrol,1.2L,Manual,"33,755 miles",5,82 bhp,2018 (68),56.5,Hatchback,114 g/km,GREY,"£11,750"
33,2008,Petrol,1.2L,Manual,"17,417 miles",5,82 bhp,2018 (67),57.7,Hatchback,114 g/km,GREY,"£11,200"
34,2008,Diesel,1.6L,Manual,"41,670 miles",5,100 bhp,2017 (67),76.4,Hatchback,97 g/km,CUMULUS GREY,"£11,100"
35,308,Diesel,1.5L,Manual,"70,384 miles",5,129 bhp,2018 (68),76.4,Hatchback,96 g/km,BLUE,"£10,600"
36,208,Petrol,1.2L,Manual,"21,643 miles",5,82 bhp,2017 (17),62.8,Hatchback,104 g/km,ORANGE,"£9,900"
37,508,Diesel,1.6L,Manual,"46,957 miles",5,120 bhp,2015 (65),67.3,Estate,104 g/km,Aluminium Metallic,"£9,800"
38,208,Petrol,1.2L,Manual,"17,124 miles",5,68 bhp,2018 (18),60.1,Hatchback,108 g/km,GREY,"£9,700"
39,208,Petrol,1.2L,Manual,"32,076 miles",5,,2018 (18),,Hatchback,104 g/km,Black,"£9,300"
40,208,Diesel,1.5L,Manual,"18,183 miles",5,101 bhp,2019 (19),76.4,Hatchback,97 g/km,ORANGE,"£9,000"
41,2008,Diesel,1.6L,Manual,"39,786 miles",5,100 bhp,2016 (16),76.4,Hatchback,97 g/km,Spirit Grey Metallic,"£9,000"
42,108,Petrol,1.0L,Manual,"11,980 miles",5,71 bhp,2018 (68),68.9,Hatchback,93 g/km,DIAMOND WHITE,"£8,500"
43,108,Petrol,1.2L,Manual,"18,873 miles",5,82 bhp,2018 (18),65.7,Hatchback,99 g/km,WHITE,"£8,400"
44,308,Petrol,1.2L,Manual,"38,334 miles",5,110 bhp,2015 (15),61.4,Hatchback,105 g/km,GREY,"£8,000"
45,208,Petrol,1.2L,Manual,"42,000 miles",5,82 bhp,2016 (16),62.8,Hatchback,104 g/km,WHITE,"£7,800"
46,108,Petrol,1.0L,Manual,"30,572 miles",5,71 bhp,2018 (68),68.9,Hatchback,93 g/km,BLACK,"£7,600"
47,208,Petrol,1.2L,Manual,"45,042 miles",3,82 bhp,2016 (66),62.8,Hatchback,104 g/km,BLACK,"£7,400"
48,308,Petrol,1.2L,Manual,"50,475 miles",5,82 bhp,2016 (16),56.5,Hatchback,114 g/km,GREY,"£7,200"
49,108,Petrol,1.0L,Manual,"33,304 miles",5,68 bhp,2015 (65),68.9,Hatchback,95 g/km,WHITE,"£6,100"
50,108,Petrol,1.0L,Manual,"40,597 miles",5,68 bhp,2016 (16),68.9,Hatchback,95 g/km,MAUVE/PURPLE,"£5,300"
