,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,C-HR,Hybrid Petrol,2.0L,Automatic,"9,226 miles",5,181 bhp,2020 (70),53.3,Hatchback,92 g/km,Scorched Orange Bi-tone (Metallic Paint),"£28,900"
1,Rav4,Hybrid Petrol,2.5L,Automatic,"29,874 miles",5,,2018 (68),,Estate,127 g/km,Phantom Blue,"£26,900"
2,Rav4,Hybrid Petrol,2.5L,Automatic,"60,607 miles",5,219 bhp,2019 (19),49.6,Estate,101 g/km,BLACK,"£26,250"
3,C-HR,Hybrid Petrol,1.8L,Automatic,"40,056 miles",5,121 bhp,2017 (67),72.4,Hatchback,86 g/km,SILVER,"£21,300"
4,C-HR,Hybrid Petrol,1.8L,Automatic,"34,475 miles",5,121 bhp,2017 (67),72.4,Hatchback,86 g/km,SILVER,"£20,900"
5,Rav4,Diesel,2.2L,Automatic,"23,068 miles",5,150 bhp,2015 (65),42.2,Estate,176 g/km,Tyrol Silver Metallic,"£19,300"
6,GT86,Petrol,2.0L,Manual,"26,182 miles",2,197 bhp,2016 (66),36.2,Coupe,180 g/km,GT 86 Pure Red gloss,"£18,400"
7,C-HR,Hybrid Petrol,1.8L,Automatic,"74,744 miles",5,121 bhp,2018 (68),1.0,Hatchback,86 g/km,Nebula Blue metallic,"£17,200"
8,Yaris,Hybrid Petrol,1.5L,Automatic,"5,712 miles",5,99 bhp,2018 (68),2.8,Hatchback,89 g/km,GREY,"£16,000"
9,Yaris,Hybrid Petrol,1.5L,Automatic,"29,173 miles",5,99 bhp,2018 (18),2.8,Hatchback,96 g/km,RED,"£15,300"
10,Yaris,Hybrid Petrol,1.5L,Automatic,"15,978 miles",5,99 bhp,2018 (68),2.8,Hatchback,84 g/km,SILVER,"£13,700"
11,Yaris,Hybrid Petrol,1.5L,Automatic,"44,615 miles",5,,2016 (66),,Hatchback,75 g/km,BRONZE,"£12,000"
12,Aygo,Petrol,1.0L,Automatic,"4,932 miles",5,69 bhp,2017 (17),67.3,Hatchback,97 g/km,YELLOW,"£11,400"
13,Aygo,Petrol,1.0L,Manual,"6,527 miles",5,69 bhp,2019 (19),57.7,Hatchback,93 g/km,GREY,"£10,000"
14,Yaris,Petrol,1.0L,Manual,"19,002 miles",5,71 bhp,2018 (18),48.7,Hatchback,104 g/km,BLACK,"£9,400"
15,Aygo,Petrol,1.0L,Automatic,"30,964 miles",5,69 bhp,2018 (68),67.3,Hatchback,95 g/km,RED,"£9,300"
16,Yaris,Petrol,1.3L,Automatic,"26,815 miles",5,98 bhp,2013 (63),55.4,Hatchback,118 g/km,BLACK,"£9,100"
17,Aygo,Petrol,1.0L,Manual,"1,466 miles",5,69 bhp,2020 (20),68.9,Hatchback,93 g/km,RED,"£9,000"
18,Aygo,Petrol,1.0L,Manual,"9,998 miles",5,69 bhp,2019 (19),68.9,Hatchback,93 g/km,BLACK,"£8,800"
19,Aygo,Petrol,1.0L,Manual,"13,197 miles",5,69 bhp,2019 (19),68.9,Hatchback,93 g/km,BLACK,"£8,700"
20,Aygo,Petrol,1.0L,Manual,"7,851 miles",5,69 bhp,2018 (68),68.9,Hatchback,93 g/km,RED,"£8,500"
21,Aygo,Petrol,1.0L,Manual,"21,008 miles",5,69 bhp,2018 (18),68.9,Hatchback,93 g/km,BLACK,"£7,500"
22,Aygo,Petrol,1.0L,Manual,"54,281 miles",5,69 bhp,2017 (17),68.9,Hatchback,95 g/km,GREY,"£7,100"
