,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,Grandland X,Diesel,1.5L,Manual,"9,043 miles",5,128 bhp,2019 (19),48.7,Hatchback,113 g/km,GREY,"£18,500"
1,Insignia,Petrol,1.5L,Manual,"32,211 miles",5,163 bhp,2019 (68),43.5,Estate,131 g/km,RED,"£17,500"
2,Zafira Tourer,Petrol,1.4L,Manual,"30,895 miles",5,138 bhp,2018 (18),41.5,MPV,156 g/km,Dark Caramel Premium,"£17,000"
3,Insignia,Diesel,1.6L,Manual,"31,790 miles",5,109 bhp,2018 (68),55.4,Estate,121 g/km,BLACK,"£16,900"
4,Grandland X,Petrol,1.2L,Manual,"32,370 miles",5,128 bhp,2018 (68),44.1,Hatchback,121 g/km,WHITE,"£16,700"
5,Grandland X,Petrol,1.2L,Manual,"32,453 miles",5,128 bhp,2018 (68),55.4,Hatchback,117 g/km,TOPAZ BLUE,"£16,600"
6,Insignia,Diesel,2.0L,Manual,"46,785 miles",5,168 bhp,2019 (68),51.4,Hatchback,142 g/km,Satin Steel Grey metallic,"£16,100"
7,Insignia,Diesel,2.0L,Manual,"30,855 miles",5,168 bhp,2018 (67),54.3,Hatchback,136 g/km,Satin Steel Grey metallic,"£15,800"
8,Mokka X,Petrol,1.4L,Automatic,"33,132 miles",5,138 bhp,2018 (68),37.2,Hatchback,162 g/km,RED,"£15,500"
9,Zafira Tourer,Petrol,1.4L,Manual,"23,047 miles",5,138 bhp,2018 (18),41.5,MPV,156 g/km,SOVEREIGN SILVER,"£15,500"
10,Mokka X,Petrol,1.4L,Automatic,"31,374 miles",5,138 bhp,2018 (68),37.2,Hatchback,162 g/km,WHITE,"£15,300"
11,Mokka X,Petrol,1.4L,Automatic,"34,228 miles",5,138 bhp,2018 (68),37.2,Hatchback,162 g/km,BLUE,"£15,200"
12,Zafira,Petrol,1.4L,Manual,"28,795 miles",5,138 bhp,2018 (18),41.5,MPV,156 g/km,SILVER,"£14,700"
13,Mokka X,Petrol,1.4L,Automatic,"43,230 miles",5,138 bhp,2018 (68),37.2,Hatchback,162 g/km,WHITE,"£14,500"
14,Astra,Petrol,1.6L,Manual,"9,134 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,BLACK,"£14,500"
15,Insignia,Petrol,1.5L,Manual,"37,108 miles",5,163 bhp,2019 (19),44.8,Hatchback,129 g/km,BLACK,"£14,400"
16,Grandland X,Diesel,1.6L,Manual,"48,587 miles",5,118 bhp,2018 (18),70.6,Hatchback,104 g/km,BLUE,"£14,400"
17,Astra,Petrol,1.4L,Manual,"19,158 miles",5,148 bhp,2018 (67),51.4,Hatchback,128 g/km,WHITE,"£14,400"
18,Astra,Petrol,1.6L,Manual,"21,095 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,COSMIC GREY,"£14,300"
19,Astra,Petrol,1.6L,Manual,"12,239 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,SUMMIT WHITE,"£14,250"
20,Astra,Petrol,1.6L,Manual,"14,234 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,COSMIC GREY,"£14,100"
21,Zafira Tourer,Petrol,1.4L,Manual,"44,181 miles",5,138 bhp,2018 (67),41.5,MPV,156 g/km,GREEN,"£14,100"
22,Astra,Petrol,1.6L,Manual,"16,124 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,MINERAL BLACK,"£14,000"
23,Astra,Petrol,1.6L,Manual,"24,786 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,GREY,"£14,000"
24,Astra,Diesel,1.6L,Manual,"21,035 miles",5,134 bhp,2018 (68),72.4,Hatchback,103 g/km,Dark Moon Blue Premium,"£14,000"
25,Astra,Petrol,1.6L,Manual,"9,604 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,BLACK,"£14,000"
26,Astra,Petrol,1.6L,Manual,"14,648 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,BLACK,"£14,000"
27,Grandland X,Diesel,1.6L,Manual,"67,211 miles",5,118 bhp,2018 (68),70.6,Hatchback,104 g/km,BLUE,"£13,900"
28,Astra,Petrol,1.6L,Manual,"16,912 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,Flip Chip Silver metallic,"£13,700"
29,Insignia,Diesel,1.6L,Manual,"59,686 miles",5,109 bhp,2018 (68),55.4,Estate,122 g/km,BLUE,"£13,700"
30,Mokka X,Diesel,1.6L,Manual,"34,769 miles",5,134 bhp,2017 (67),68.9,Hatchback,106 g/km,GREY,"£13,700"
31,Grandland X,Petrol,1.2L,Manual,"60,764 miles",5,128 bhp,2018 (68),44.1,Hatchback,120 g/km,RED,"£13,700"
32,Insignia,Diesel,1.6L,Manual,"61,548 miles",5,108 bhp,2018 (18),65.7,Estate,112 g/km,BLUE,"£13,600"
33,Astra,Petrol,1.6L,Manual,"24,017 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,MINERAL BLACK,"£13,500"
34,Crossland X,Petrol,1.2L,Manual,"19,612 miles",5,109 bhp,2019 (19),47.1,Hatchback,109 g/km,WHITE,"£13,500"
35,Astra,Petrol,1.6L,Manual,"20,420 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,BLACK,"£13,500"
36,Astra,Petrol,1.6L,Manual,"24,177 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,BLACK,"£13,500"
37,Astra,Petrol,1.6L,Manual,"24,362 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,GREY,"£13,500"
38,Mokka X,Petrol,1.4L,Automatic,"21,013 miles",5,138 bhp,2017 (67),43.5,Hatchback,149 g/km,ORANGE,"£13,500"
39,Mokka X,Petrol,1.4L,Manual,"31,606 miles",5,138 bhp,2018 (68),39.2,Hatchback,150 g/km,BLACK,"£13,300"
40,Mokka X,Petrol,1.4L,Manual,"23,403 miles",5,138 bhp,2019 (19),39.2,Hatchback,147 g/km,SILVER,"£13,300"
41,Astra,Petrol,1.4L,Automatic,"48,124 miles",5,148 bhp,2018 (18),51.4,Hatchback,127 g/km,RED,"£13,200"
42,Astra,Petrol,1.4L,Manual,"15,795 miles",5,148 bhp,2018 (18),51.4,Hatchback,128 g/km,SILVER,"£13,200"
43,Astra,Petrol,1.6L,Manual,"20,760 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,SOVEREIGN SILVER,"£13,100"
44,Mokka X,Petrol,1.4L,Manual,"14,196 miles",5,138 bhp,2018 (67),47.1,Hatchback,140 g/km,BLUE,"£13,000"
45,Astra,Petrol,1.6L,Manual,"20,176 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,WHITE,"£13,000"
46,Mokka X,Petrol,1.4L,Manual,"23,777 miles",5,138 bhp,2018 (18),39.2,Hatchback,150 g/km,BLUE,"£13,000"
47,Astra,Petrol,1.6L,Manual,"32,590 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,SILVER,"£13,000"
48,Mokka X,Petrol,1.4L,Manual,"34,411 miles",5,138 bhp,2018 (68),39.2,Hatchback,150 g/km,BLACK,"£12,900"
49,Astra,Petrol,1.4L,Automatic,"49,087 miles",5,148 bhp,2019 (19),42.8,Hatchback,134 g/km,BLACK,"£12,900"
50,Astra,Petrol,1.0L,Manual,"12,792 miles",5,104 bhp,2018 (68),50.4,Hatchback,110 g/km,GREY,"£12,900"
51,Astra,Petrol,1.4L,Manual,"30,834 miles",5,148 bhp,2018 (68),51.4,Hatchback,128 g/km,SUMMIT WHITE,"£12,700"
52,Corsa,Petrol,1.4L,Automatic,"22,376 miles",5,89 bhp,2018 (68),39.8,Hatchback,150 g/km,BLUE,"£12,700"
53,Mokka X,Petrol,1.4L,Automatic,"44,242 miles",5,138 bhp,2017 (17),43.5,Hatchback,149 g/km,RED,"£12,700"
54,Astra,Diesel,1.6L,Manual,"11,387 miles",5,108 bhp,2018 (18),78.5,Estate,96 g/km,SILVER,"£12,600"
55,Astra,Petrol,1.4L,Manual,"22,792 miles",5,148 bhp,2018 (68),51.4,Hatchback,128 g/km,GREY,"£12,600"
56,Mokka X,Petrol,1.4L,Manual,"24,109 miles",5,138 bhp,2017 (67),47.1,Hatchback,140 g/km,WHITE,"£12,600"
57,Astra,Diesel,1.6L,Manual,"28,684 miles",5,108 bhp,2018 (68),78.5,Estate,96 g/km,SILVER,"£12,600"
58,Astra,Petrol,1.6L,Manual,"23,613 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,COSMIC GREY,"£12,500"
59,Insignia,Diesel,1.6L,Manual,"37,081 miles",5,109 bhp,2018 (68),55.4,Estate,121 g/km,BLUE,"£12,500"
60,Mokka X,Petrol,1.4L,Manual,"13,705 miles",5,138 bhp,2018 (18),47.1,Hatchback,140 g/km,GREY,"£12,500"
61,Astra,Petrol,1.4L,Manual,"27,765 miles",5,148 bhp,2017 (17),51.4,Hatchback,128 g/km,Flip Chip Silver metallic,"£12,400"
62,Astra,Diesel,1.6L,Manual,"20,693 miles",5,108 bhp,2018 (18),78.5,Estate,96 g/km,BLUE,"£12,400"
63,Astra,Diesel,1.6L,Manual,"30,739 miles",5,134 bhp,2018 (68),58.9,Hatchback,118 g/km,MINERAL BLACK,"£12,200"
64,Astra,Diesel,1.6L,Automatic,"58,247 miles",5,134 bhp,2017 (67),62.8,Hatchback,119 g/km,BLACK,"£12,000"
65,Crossland X,Petrol,1.2L,Manual,"45,726 miles",5,82 bhp,2018 (68),44.8,Hatchback,117 g/km,BLUE,"£12,000"
66,Astra,Petrol,1.6L,Manual,"34,326 miles",5,197 bhp,2018 (68),41.5,Hatchback,147 g/km,MINERAL BLACK,"£12,000"
67,Crossland X,Petrol,1.2L,Manual,"28,837 miles",5,82 bhp,2018 (68),44.8,Hatchback,117 g/km,SILVER,"£11,800"
