,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,Tiguan,Petrol,2.0L,Automatic,"4,255 miles",5,227 bhp,2020 (69),30.4,Estate,175 g/km,INDIUM GREY,"£33,700"
1,Golf,Petrol,2.0L,Automatic,"11,596 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,PURE WHITE,"£33,000"
2,Golf,Petrol,2.0L,Automatic,"5,101 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,INDIUM GREY,"£32,000"
3,Golf,Petrol,2.0L,Automatic,"14,953 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,GREY,"£32,000"
4,Golf,Petrol,2.0L,Automatic,"14,122 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,WHITE,"£31,000"
5,Golf,Petrol,2.0L,Automatic,"5,710 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,INDIUM GREY,"£31,000"
6,Golf,Petrol,2.0L,Automatic,"11,792 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,BLACK,"£31,000"
7,Golf,Petrol,2.0L,Automatic,"12,585 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,INDIUM GREY,"£30,500"
8,Golf,Petrol,2.0L,Automatic,"10,347 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,PURE WHITE,"£30,500"
9,Golf,Petrol,2.0L,Automatic,"14,865 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,INDIUM GREY,"£30,500"
10,Golf,Petrol,2.0L,Automatic,"12,474 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,INDIUM GREY,"£30,500"
11,Golf,Petrol,2.0L,Automatic,"10,909 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,GREY,"£30,500"
12,Tiguan,Petrol,1.5L,Manual,"14,652 miles",5,148 bhp,2020 (69),37.2,Estate,138 g/km,GREY,"£30,300"
13,Golf,Petrol,2.0L,Automatic,"15,736 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,WHITE,"£30,200"
14,Touareg,Diesel,3.0L,Automatic,"41,095 miles",5,259 bhp,2017 (67),42.8,Estate,174 g/km,GREY,"£30,200"
15,Golf,Petrol,2.0L,Automatic,"14,683 miles",3,296 bhp,2019 (19),32.8,Hatchback,160 g/km,WHITE,"£30,100"
16,Golf,Petrol,2.0L,Automatic,"10,581 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,BLUE,"£30,000"
17,Golf,Petrol,2.0L,Automatic,"9,793 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,INDIUM GREY,"£30,000"
18,Golf,Petrol,2.0L,Automatic,"15,718 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,BLACK,"£30,000"
19,Golf,Petrol,2.0L,Automatic,"15,895 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,WHITE,"£30,000"
20,Golf,Petrol,2.0L,Automatic,"13,394 miles",3,296 bhp,2019 (19),32.8,Hatchback,160 g/km,PURE WHITE,"£30,000"
21,Golf,Petrol,2.0L,Automatic,"12,189 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,SILVER,"£30,000"
22,Golf,Petrol,2.0L,Automatic,"13,500 miles",5,296 bhp,2019 (69),32.8,Hatchback,164 g/km,LAPIZ BLUE,"£29,500"
23,Golf,Petrol,2.0L,Automatic,"20,079 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,INDIUM GREY,"£29,500"
24,Golf,Petrol,2.0L,Automatic,"13,558 miles",5,296 bhp,2019 (19),32.8,Hatchback,164 g/km,GREY,"£29,500"
