,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,CO2,MOT Expires,Interior Trim,Euro Status,VAT Qualifying
0,8 Series,Petrol,3.0L,Automatic,933 miles,2,335 bhp,2021 (21),33.6,Coupe,WHITE,1.0,Euro 6,£199,"£54,500",,,,,
1,M2,Petrol,3.0L,Automatic,"18,161 miles",2,405 bhp,2019 (69),29.1,Coupe,Long Beach Blue metallic,1.0,Euro 6,£199,"£40,100",209 g/km,,,,
2,5 Series,Petrol,3.0L,Automatic,"35,578 miles",5,335 bhp,2018 (68),37.7,Estate,Sophisto Grey Xirallic,1.0,Euro 6,£199,"£37,100",172 g/km,04-11-2022,,,
3,X5,Diesel,3.0L,Automatic,"54,064 miles",5,308 bhp,2017 (67),47.1,Estate,WHITE,1.0,Euro 6,£199,"£36,900",159 g/km,14-09-2022,,,
4,X5,Diesel,3.0L,Automatic,"34,681 miles",5,308 bhp,2017 (17),47.1,Estate,BLACK,2.0,Euro 6,£199,"£35,800",159 g/km,10-10-2021,,,
5,5 Series,Petrol,3.0L,Automatic,"25,134 miles",4,335 bhp,2018 (68),39.2,Saloon,BLACK,1.0,Euro 6,£199,"£35,500",164 g/km,20-09-2022,,,
6,X6,Diesel,3.0L,Automatic,"45,740 miles",4,255 bhp,2018 (18),47.1,Coupe,GREY,1.0,Euro 6,£199,"£34,500",159 g/km,28-03-2022,,,
7,X3,Diesel,2.0L,Automatic,"11,897 miles",5,188 bhp,2019 (19),54.3,Estate,ALPINE WHITE,1.0,Euro 6,£199,"£34,000",138 g/km,,,,
8,X5,Diesel,3.0L,Automatic,"43,237 miles",5,255 bhp,2016 (66),47.1,Estate,WHITE,2.0,Euro 6,£199,"£33,700",158 g/km,24-11-2021,,,
9,X5,Diesel,3.0L,Automatic,"58,404 miles",5,255 bhp,2017 (67),47.1,Estate,GREY,2.0,Euro 6,£199,"£32,600",158 g/km,,,,
10,X3,Diesel,2.0L,Automatic,"37,639 miles",5,188 bhp,2018 (68),54.3,Estate,BLUE,1.0,Euro 6,£199,"£32,300",138 g/km,,,,
11,3 Series,Diesel,2.0L,Automatic,"9,857 miles",5,188 bhp,2020 (69),50.4,Estate,WHITE,1.0,Euro 6,£199,"£32,000",121 g/km,,,,
12,3 Series,Hybrid Petrol,2.0L,Automatic,"18,198 miles",4,288 bhp,2019 (69),8.8,Saloon,SUNSET ORANGE,1.0,Euro 6,£199,"£32,000",37 g/km,,Vernasca Leather,,
13,6 Series,Diesel,3.0L,Automatic,"32,054 miles",5,261 bhp,2018 (68),53.3,Hatchback,GREY,1.0,Euro 6,£199,"£30,400",139 g/km,28-09-2022,,,
14,X5,Diesel,3.0L,Automatic,"48,237 miles",5,255 bhp,2016 (16),47.1,Estate,WHITE,2.0,Euro 6,£199,"£30,300",158 g/km,04-03-2022,,,
15,X6,Diesel,3.0L,Automatic,"60,407 miles",4,308 bhp,2016 (16),44.8,Coupe,SPACE GREY,2.0,Euro 6,£199,"£30,000",165 g/km,26-01-2022,IVORY WHITE DAKOTA LEATHER,,
16,6 Series,Petrol,3.0L,Automatic,"46,238 miles",2,,2017 (17),,Convertible,Black,2.0,,£199,"£30,000",184 g/km,,,,
17,3 Series,Petrol,2.0L,Automatic,"6,368 miles",4,181 bhp,2019 (69),42.2,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£30,000",129 g/km,,,,
18,X5,Diesel,3.0L,Automatic,"57,269 miles",5,255 bhp,2015 (65),47.1,Estate,BLACK,1.0,Euro 6,£199,"£29,900",158 g/km,05-09-2022,,,
19,3 Series,Hybrid Petrol,2.0L,Automatic,"33,553 miles",4,288 bhp,2019 (69),8.8,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£29,900",37 g/km,,,,
20,X3,Diesel,3.0L,Automatic,"29,556 miles",5,308 bhp,2017 (67),47.1,Estate,GREY,,Euro 6,£199,"£29,800",157 g/km,03-11-2022,,,
