,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,MOT Expires,Ultra Low Emission Zone  ,Tax,Price,Previous Keepers
0,124 Spider,Petrol,1.4L,Manual,"14,497 miles",2,138 bhp,2018 (18),44.1,Convertible,148 g/km,BLACK,22-02-2022,Euro 6,£199,"£17,000",
1,500X,Petrol,1.0L,Manual,"14,687 miles",5,118 bhp,2019 (68),41.5,Hatchback,132 g/km,GREEN,,Euro 6,£199,"£15,200",
2,500X,Petrol,1.4L,Automatic,"19,038 miles",5,140 bhp,2017 (67),49.6,Hatchback,133 g/km,BLACK,,Euro 6,£199,"£14,100",1.0
3,500,Petrol,1.2L,Automatic,"9,231 miles",3,68 bhp,2020 (20),46.3,Hatchback,114 g/km,WHITE,,Euro 6,£199,"£13,800",1.0
4,500,Petrol,1.2L,Automatic,"9,210 miles",3,68 bhp,2019 (69),46.3,Hatchback,114 g/km,GREEN,,Euro 6,£199,"£13,500",1.0
5,500X,Petrol,1.0L,Manual,"18,643 miles",5,118 bhp,2019 (19),41.5,Hatchback,133 g/km,GREEN,,Euro 6,£199,"£13,200",2.0
6,500X,Petrol,1.4L,Automatic,"31,086 miles",5,170 bhp,2016 (16),42.2,Hatchback,157 g/km,GREY,,Euro 6,£199,"£12,900",
7,500,Petrol,1.2L,Automatic,"3,946 miles",3,68 bhp,2018 (68),45.6,Hatchback,120 g/km,Grey,28-09-2022,Euro 6,£199,"£12,600",1.0
8,500,Petrol,1.2L,Automatic,"25,593 miles",3,68 bhp,2020 (20),46.3,Hatchback,114 g/km,GREY,,Euro 6,£199,"£12,200",1.0
9,500,Petrol,1.2L,Automatic,"22,229 miles",3,68 bhp,2018 (68),45.6,Hatchback,120 g/km,WHITE,,Euro 6,£199,"£12,000",1.0
10,500X,Diesel,1.6L,Automatic,"32,546 miles",5,118 bhp,2017 (17),65.7,Hatchback,113 g/km,WHITE,21-03-2022,Euro 6,£199,"£11,700",
11,500X,Diesel,2.0L,Automatic,"26,459 miles",5,140 bhp,2016 (16),51.4,Hatchback,144 g/km,RED,27-07-2022,Euro 6,£199,"£11,600",
12,500,Petrol,1.2L,Automatic,"26,535 miles",3,69 bhp,2017 (67),62.8,Hatchback,105 g/km,GREEN,11-04-2022,Euro 6,£199,"£11,400",1.0
13,500X,Petrol,1.4L,Manual,"42,333 miles",5,140 bhp,2017 (66),47.1,Hatchback,139 g/km,Fashion Grey metallic,24-01-2022,Euro 6,£199,"£11,200",2.0
