,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim,Euro Status
0,Puma,Petrol,1.0L,Manual,"3,053 miles",5,123 bhp,2020 (20),50.4,Hatchback,99 g/km,BLACK,1.0,Euro 6,£199,"£23,800",,,
1,Kuga,Diesel,2.0L,Manual,"21,304 miles",5,148 bhp,2018 (68),39.2,Hatchback,144 g/km,GREY,1.0,Euro 6,£199,"£22,400",08-11-2022,,
2,Puma,Petrol,1.0L,Manual,"12,655 miles",5,123 bhp,2020 (69),50.4,Hatchback,99 g/km,BLUE,1.0,Euro 6,£199,"£22,400",,,
3,Kuga,Diesel,2.0L,Manual,"34,250 miles",5,177 bhp,2018 (18),54.3,Hatchback,135 g/km,DEEP IMPACT BLUE,1.0,Euro 6,£199,"£22,000",25-03-2022,,
4,Focus,Petrol,1.0L,Manual,"3,848 miles",5,123 bhp,2020 (20),45.6,Hatchback,110 g/km,FROZEN WHITE,1.0,Euro 6,£199,"£21,500",,,
5,Focus,Petrol,1.5L,Automatic,"18,478 miles",5,180 bhp,2020 (20),39.8,Hatchback,137 g/km,RACE RED,1.0,Euro 6,£199,"£21,400",,,
6,Fiesta,Petrol,1.5L,Manual,"10,909 miles",5,197 bhp,2019 (68),40.4,Hatchback,136 g/km, Performance Blue,2.0,Euro 6,£199,"£21,200",,,
7,Kuga Vignale,Diesel,2.0L,Manual,"52,165 miles",5,148 bhp,2018 (68),38.2,Hatchback,151 g/km,BLACK,1.0,Euro 6,£199,"£21,100",29-09-2022,,
8,Focus,Diesel,1.5L,Automatic,"10,232 miles",5,118 bhp,2020 (20),53.3,Hatchback,113 g/km,RED,1.0,Euro 6,£199,"£21,000",,,
9,Focus,Petrol,1.0L,Manual,"11,005 miles",5,123 bhp,2020 (20),45.6,Hatchback,110 g/km,GREY,1.0,Euro 6,£199,"£20,900",,,
10,Kuga,Diesel,1.5L,Automatic,"18,444 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,FROZEN WHITE,2.0,Euro 6,£199,"£20,600",20-01-2022,,
11,Kuga,Diesel,1.5L,Automatic,"24,740 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,BLUE,1.0,Euro 6,£199,"£20,500",15-08-2022,,
12,Kuga,Diesel,1.5L,Manual,"21,786 miles",5,118 bhp,2019 (68),45.6,Hatchback,137 g/km,GREY,1.0,Euro 6,£199,"£20,200",,,
13,Kuga Vignale,Diesel,2.0L,Manual,"41,737 miles",5,177 bhp,2017 (17),54.3,Hatchback,135 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£20,000",22-11-2021,WINDSOR BLACK LEATHER,
14,Ecosport,Petrol,1.0L,Manual,"4,943 miles",5,138 bhp,2020 (70),47.1,Hatchback,113 g/km,Metropolis White,1.0,Euro 6,£199,"£20,000",,,
15,Mondeo Vignale,Hybrid Petrol,2.0L,Automatic,"30,251 miles",4,,2018 (68),,Saloon,108 g/km,SILVER,1.0,Euro 6,£199,"£19,700",08-07-2022,,
16,Focus,Petrol,1.0L,Manual,458 miles,5,123 bhp,2020 (70),55.4,Hatchback,94 g/km,SILVER,1.0,Euro 6,£199,"£19,600",,,
17,Fiesta,Petrol,1.5L,Manual,"14,829 miles",3,197 bhp,2020 (20),47.1,Hatchback,136 g/km,FROZEN WHITE,1.0,Euro 6,£199,"£19,500",,,
18,Kuga,Diesel,2.0L,Manual,"54,999 miles",5,148 bhp,2018 (67),60.1,Hatchback,122 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£19,400",03-01-2022,,
19,Kuga,Diesel,1.5L,Automatic,"38,175 miles",5,118 bhp,2017 (67),58.9,Hatchback,124 g/km,SHADOW BLACK ,1.0,Euro 6,£199,"£19,400",24-08-2022,,
20,Focus,Petrol,2.0L,Manual,"26,652 miles",5,247 bhp,2017 (17),41.5,Hatchback,159 g/km,RACE RED,,Euro 6,£199,"£19,100",02-03-2022,,
21,Kuga,Diesel,1.5L,Automatic,"42,921 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,BLACK,1.0,Euro 6,£199,"£19,000",08-03-2022,,
22,Fiesta,Petrol,1.5L,Manual,"17,255 miles",5,197 bhp,2019 (69),40.4,Hatchback,136 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£18,800",,,
23,S-Max,Diesel,2.0L,Manual,"43,801 miles",5,148 bhp,2017 (17),56.5,MPV,129 g/km,RED,2.0,Euro 6,£199,"£18,600",26-02-2022,,
24,S-Max,Diesel,2.0L,Manual,"57,611 miles",5,177 bhp,2016 (16),56.5,MPV,129 g/km,GREY,1.0,Euro 6,£199,"£18,600",15-07-2022,,
25,Mondeo,Diesel,2.0L,Manual,"29,161 miles",5,148 bhp,2020 (69),53.3,Hatchback,123 g/km,BLUE,1.0,Euro 6,£199,"£18,500",,,
26,Edge,Diesel,2.0L,Manual,"51,322 miles",5,177 bhp,2016 (66),48.7,Estate,149 g/km,BLUE,2.0,Euro 6,£199,"£18,500",15-09-2021,,
27,Kuga,Diesel,1.5L,Manual,"20,292 miles",5,118 bhp,2018 (18),44.8,Hatchback,137 g/km,FROZEN WHITE,1.0,Euro 6,£199,"£18,500",30-07-2022,,
28,Kuga,Diesel,2.0L,Manual,"37,948 miles",5,148 bhp,2018 (18),60.1,Hatchback,122 g/km,FROZEN WHITE,2.0,Euro 6,£199,"£18,400",29-03-2022,,
29,Kuga,Diesel,2.0L,Automatic,"72,201 miles",5,118 bhp,2018 (68),37.2,Hatchback,164 g/km,GREY,1.0,Euro 6,£199,"£18,400",21-06-2022,,
30,Kuga,Diesel,1.5L,Manual,"19,327 miles",5,118 bhp,2018 (18),44.8,Hatchback,137 g/km,BLACK,,Euro 6,£199,"£17,900",29-07-2022,,
31,Kuga,Diesel,1.5L,Manual,"25,444 miles",5,118 bhp,2017 (67),64.2,Hatchback,115 g/km,GREEN,1.0,Euro 6,£199,"£17,600",15-10-2022,,
32,Focus,Petrol,2.0L,Manual,"23,460 miles",5,247 bhp,2017 (17),41.5,Hatchback,159 g/km,DEEP IMPACT BLUE,2.0,Euro 6,£199,"£17,500",06-08-2022,,
33,Kuga,Diesel,1.5L,Manual,"46,706 miles",5,118 bhp,2018 (18),64.2,Hatchback,115 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£17,400",25-04-2022,,
34,Fiesta,Petrol,1.0L,Automatic,"23,040 miles",5,99 bhp,2019 (19),49.6,Hatchback,130 g/km,RED,1.0,Euro 6,£199,"£17,300",,,
35,Kuga,Diesel,1.5L,Manual,"38,283 miles",5,118 bhp,2018 (68),44.8,Hatchback,137 g/km,RACE RED,1.0,Euro 6,£199,"£17,200",22-07-2022,,
36,Kuga,Diesel,1.5L,Manual,"31,849 miles",5,118 bhp,2017 (67),64.2,Hatchback,115 g/km,BLUE,1.0,Euro 6,£199,"£17,100",29-10-2022,,
37,Kuga,Diesel,2.0L,Manual,"34,483 miles",5,148 bhp,2018 (18),60.1,Hatchback,122 g/km,BLACK,1.0,Euro 6,£199,"£17,000",26-07-2022,,
38,Kuga,Diesel,2.0L,Automatic,"63,813 miles",5,177 bhp,2017 (66),54.3,Hatchback,134 g/km,SHADOW BLACK ,1.0,Euro 6,£199,"£17,000",31-01-2022,,
39,Fiesta,Petrol,1.0L,Manual,981 miles,5,94 bhp,2020 (70),53.3,Hatchback,94 g/km,BLACK,1.0,Euro 6,£199,"£17,000",,,
40,Focus,Petrol,1.0L,Manual,"21,802 miles",5,123 bhp,2019 (19),47.9,Hatchback,107 g/km,Diffused Silver,1.0,Euro 6,£199,"£16,900",,,
41,Focus,Petrol,1.0L,Manual,"29,966 miles",5,123 bhp,2018 (68),48.7,Hatchback,111 g/km,CHROME BLUE,1.0,Euro 6,£199,"£16,900",20-09-2022,,
42,Kuga,Petrol,1.5L,Manual,"20,643 miles",5,148 bhp,2018 (68),37.2,Hatchback,181 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£16,800",,,
43,Kuga,Diesel,1.5L,Automatic,"35,147 miles",5,118 bhp,2018 (67),58.9,Hatchback,124 g/km,GREEN,,Euro 6,£199,"£16,500",08-04-2022,,
44,Kuga,Petrol,1.5L,Manual,"17,087 miles",5,148 bhp,2018 (18),37.2,Hatchback,181 g/km,BLACK,1.0,Euro 6,£199,"£16,500",17-06-2022,,
45,Kuga,Diesel,1.5L,Manual,"21,806 miles",5,118 bhp,2018 (67),64.2,Hatchback,115 g/km,GREY,1.0,Euro 6,£199,"£16,500",29-10-2021,,
46,Kuga,Diesel,2.0L,Manual,"64,972 miles",5,177 bhp,2017 (67),54.3,Hatchback,135 g/km,MAGNETIC GREY,2.0,Euro 6,£199,"£16,500",22-09-2022,,
47,Focus,Diesel,1.5L,Manual,"17,734 miles",5,118 bhp,2019 (19),62.8,Hatchback,94 g/km,GREY,1.0,Euro 6,£199,"£16,300",,,
48,Kuga,Diesel,1.5L,Manual,"47,822 miles",5,118 bhp,2018 (18),64.2,Hatchback,115 g/km,FROZEN WHITE,1.0,Euro 6,£199,"£16,300",21-03-2022,,
49,Kuga,Petrol,1.5L,Manual,"21,826 miles",5,118 bhp,2018 (68),37.2,Hatchback,181 g/km,MOONDUST SILVER,1.0,Euro 6,£199,"£16,250",02-08-2022,,
50,Focus,Diesel,1.5L,Manual,"42,645 miles",5,118 bhp,2019 (69),61.4,Hatchback,97 g/km,SILVER,1.0,Euro 6,£199,"£16,200",,,
51,Kuga,Petrol,1.5L,Automatic,"54,809 miles",5,176 bhp,2018 (68),28.8,Hatchback,208 g/km,BLUE,1.0,Euro 6,£199,"£16,200",28-07-2022,,
52,Focus,Petrol,1.0L,Manual,"37,188 miles",5,123 bhp,2019 (19),48.7,Hatchback,111 g/km,BLACK,1.0,Euro 6,£199,"£16,100",,,
53,Kuga,Diesel,1.5L,Manual,"34,188 miles",5,118 bhp,2018 (18),44.8,Hatchback,137 g/km,CHROME BLUE,1.0,Euro 6,£199,"£16,100",25-05-2022,,
54,Kuga,Diesel,1.5L,Automatic,"53,550 miles",5,118 bhp,2018 (18),58.9,Hatchback,124 g/km,Copper Pulse Exclusive,1.0,Euro 6,£199,"£16,100",17-02-2022,,
55,Ecosport,Petrol,1.0L,Automatic,"36,823 miles",5,123 bhp,2018 (68),38.7,Hatchback,140 g/km,SILVER,1.0,Euro 6,£199,"£16,100",11-10-2022,,
56,Ecosport,Petrol,1.0L,Manual,"14,928 miles",5,138 bhp,2019 (19),43.5,Hatchback,119 g/km,GREY,2.0,Euro 6,£199,"£16,000",,,
57,Kuga,Diesel,1.5L,Manual,"38,606 miles",5,118 bhp,2018 (18),64.2,Hatchback,115 g/km,GREEN,1.0,Euro 6,£199,"£16,000",20-04-2022,,
58,Kuga,Diesel,2.0L,Manual,"29,150 miles",5,148 bhp,2017 (67),60.1,Hatchback,122 g/km,BLACK,2.0,Euro 6,£199,"£15,900",,,
59,Focus,Petrol,1.0L,Manual,"9,338 miles",5,123 bhp,2018 (18),49.6,Hatchback,108 g/km,MOONDUST SILVER,1.0,Euro 6,£199,"£15,900",,,
60,Focus,Diesel,1.5L,Manual,"34,633 miles",5,118 bhp,2018 (68),61.4,Hatchback,97 g/km,BLACK,1.0,Euro 6,£199,"£15,900",03-10-2022,,
61,Focus,Petrol,1.0L,Automatic,"21,138 miles",5,123 bhp,2018 (68),51.4,Hatchback,125 g/km,BLACK,1.0,Euro 6,£199,"£15,900",09-10-2022,,
62,Kuga,Diesel,1.5L,Manual,"37,243 miles",5,118 bhp,2017 (67),64.2,Hatchback,115 g/km,MAGNETIC GREY,1.0,Euro 6,£199,"£15,800",07-07-2022,,
63,Kuga,Diesel,2.0L,Manual,"74,554 miles",5,148 bhp,2017 (17),60.1,Hatchback,122 g/km,GREY,1.0,Euro 6,£199,"£15,700",04-11-2022,,
64,Ecosport,Petrol,1.0L,Automatic,"44,125 miles",5,123 bhp,2018 (68),38.7,Hatchback,140 g/km,GREY,1.0,Euro 6,£199,"£15,600",06-09-2022,,
65,Fiesta,Petrol,1.0L,Manual,"9,893 miles",3,138 bhp,2019 (19),47.9,Hatchback,113 g/km,FROZEN WHITE,1.0,Euro 6,£199,"£15,600",,,
66,Kuga,Diesel,1.5L,Manual,"53,586 miles",5,118 bhp,2018 (18),64.2,Hatchback,115 g/km,DEEP IMPACT BLUE,1.0,Euro 6,£199,"£15,600",25-01-2022,,
67,Kuga,Petrol,1.5L,Manual,"25,370 miles",5,148 bhp,2016 (16),45.6,Hatchback,143 g/km,FROZEN WHITE,2.0,Euro 6,£199,"£15,600",08-04-2022,,
68,Kuga,Diesel,1.5L,Manual,"29,346 miles",5,118 bhp,2017 (67),64.2,Hatchback,115 g/km,RED,1.0,Euro 6,£199,"£15,500",09-06-2022,,
69,Focus,Diesel,1.5L,Automatic,"38,865 miles",5,118 bhp,2018 (68),54.3,Hatchback,111 g/km,BLACK,1.0,Euro 6,£199,"£15,500",,,
70,Ecosport,Petrol,1.0L,Automatic,"17,781 miles",5,123 bhp,2019 (68),38.7,Hatchback,140 g/km,BLUE,1.0,Euro 6,£199,"£15,500",,,
71,Kuga,Diesel,2.0L,Manual,"49,599 miles",5,177 bhp,2016 (66),54.3,Hatchback,135 g/km,DEEP IMPACT BLUE,2.0,Euro 6,£199,"£15,500",21-09-2022,,
