,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,Body Type,CO2,Colour,MOT Expires,MPG,Ultra Low Emission Zone  ,Tax,Price,Previous Keepers,Euro Status
0,Kodiaq,Diesel,2.0L,Manual,"67,058 miles",5,148 bhp,2018 (67),Estate,144 g/km,Business Grey metallic,04-01-2022,51.4,Euro 6,£199,"£23,200",,
1,Karoq,Diesel,1.6L,Automatic,"35,460 miles",5,114 bhp,2018 (68),Estate,125 g/km,PETROL BLUE,25-07-2022,47.1,Euro 6,£199,"£21,100",1.0,
2,Superb,Diesel,2.0L,Automatic,"4,707 miles",5,188 bhp,2017 (66),Hatchback,119 g/km,Business Grey Metallic,09-08-2022,61.4,Euro 6,£199,"£19,900",1.0,
3,Octavia,Diesel,2.0L,Manual,"50,524 miles",5,181 bhp,2018 (18),Estate,119 g/km,GREEN,16-07-2022,62.8,Euro 6,£199,"£19,500",1.0,
4,Karoq,Petrol,1.0L,Manual,"24,018 miles",5,114 bhp,2018 (18),Estate,121 g/km,MOON WHITE,27-06-2022,52.3,Euro 6,£199,"£19,000",1.0,
5,Superb,Diesel,2.0L,Automatic,"47,175 miles",5,148 bhp,2017 (17),Estate,119 g/km,WHITE,26-07-2022,61.4,Euro 6,£199,"£18,250",1.0,
6,Superb,Diesel,2.0L,Automatic,"72,587 miles",5,148 bhp,2018 (68),Estate,117 g/km,MOON WHITE,30-09-2022,49.6,Euro 6,£199,"£17,500",1.0,
7,Superb,Diesel,1.6L,Automatic,"57,065 miles",5,118 bhp,2018 (18),Estate,112 g/km,BLUE,28-03-2022,65.7,Euro 6,£199,"£16,700",1.0,
8,Octavia,Diesel,2.0L,Automatic,"49,502 miles",5,148 bhp,2019 (19),Hatchback,110 g/km,BLACK,,54.3,Euro 6,£199,"£15,800",1.0,
9,Octavia,Diesel,2.0L,Automatic,"59,650 miles",5,181 bhp,2015 (15),Estate,126 g/km,GREY,15-01-2022,58.9,Euro 6,£199,"£15,300",2.0,
10,Octavia,Petrol,1.4L,Automatic,"18,971 miles",5,148 bhp,2017 (66),Hatchback,112 g/km,SILVER,05-10-2022,58.9,Euro 6,£199,"£15,300",2.0,
11,Superb,Diesel,2.0L,Automatic,"66,285 miles",5,188 bhp,2016 (16),Hatchback,132 g/km,GREY,01-03-2022,56.5,Euro 6,£199,"£15,000",,
12,Superb,Diesel,2.0L,Manual,"73,631 miles",5,148 bhp,2018 (18),Estate,113 g/km,BLUE,13-07-2022,65.7,Euro 6,£199,"£14,500",1.0,
13,Octavia,Diesel,2.0L,Manual,"33,187 miles",5,148 bhp,2017 (67),Hatchback,113 g/km,GREY,23-10-2022,65.7,Euro 6,£199,"£14,100",2.0,
14,Octavia,Petrol,1.4L,Manual,"34,074 miles",5,148 bhp,2017 (66),Estate,119 g/km,BLUE,30-01-2022,55.4,Euro 6,£199,"£14,000",2.0,
15,Octavia,Diesel,1.6L,Manual,"31,454 miles",5,113 bhp,2018 (68),Hatchback,107 g/km,GREY,26-09-2022,58.9,Euro 6,£199,"£13,500",1.0,
16,Octavia,Diesel,1.6L,Automatic,"61,317 miles",5,114 bhp,2017 (67),Hatchback,103 g/km,BLUE,25-10-2022,72.4,Euro 6,£199,"£13,000",1.0,
17,Octavia,Diesel,1.6L,Automatic,"72,653 miles",5,114 bhp,2017 (67),Hatchback,103 g/km,BLUE,25-10-2022,72.4,Euro 6,£199,"£12,300",1.0,
18,Octavia,Petrol,1.0L,Automatic,"51,556 miles",5,114 bhp,2017 (67),Hatchback,108 g/km,BLUE,10-10-2022,58.9,Euro 6,£199,"£12,200",1.0,
19,Fabia,Petrol,1.0L,Manual,"13,398 miles",5,94 bhp,2019 (69),Hatchback,103 g/km,BLUE,,51.4,Euro 6,£199,"£12,100",1.0,
20,Octavia,Diesel,1.6L,Manual,"51,872 miles",5,113 bhp,2018 (68),Hatchback,107 g/km,GREY,21-10-2022,58.9,Euro 6,£199,"£12,000",1.0,
21,Octavia,Diesel,1.6L,Manual,"57,511 miles",5,109 bhp,2016 (66),Estate,101 g/km,WHITE,29-12-2021,72.4,Euro 6,£199,"£11,500",,
22,Fabia,Petrol,1.0L,Manual,"40,330 miles",5,74 bhp,2018 (68),Hatchback,111 g/km,GREEN,27-09-2022,48.7,Euro 6,£199,"£10,800",2.0,
23,Fabia,Petrol,1.0L,Manual,"5,572 miles",5,94 bhp,2017 (67),Hatchback,101 g/km,BLUE,20-09-2021,64.2,Euro 6,£199,"£10,100",1.0,
24,Fabia,Petrol,1.0L,Manual,"21,173 miles",5,74 bhp,2018 (18),Hatchback,111 g/km,BLACK,22-09-2022,57.7,Euro 6,£199,"£9,800",,
25,Fabia,Petrol,1.0L,Manual,"16,185 miles",5,94 bhp,2018 (18),Hatchback,101 g/km,BLACK,,64.2,Euro 6,£199,"£9,600",1.0,
26,Fabia,Petrol,1.0L,Manual,"16,244 miles",5,74 bhp,2018 (18),Hatchback,111 g/km,BLUE,27-08-2022,57.7,Euro 6,£199,"£9,500",1.0,
27,Fabia,Petrol,1.0L,Manual,"4,146 miles",5,59 bhp,2018 (68),Hatchback,110 g/km,BLUE,19-09-2022,50.4,Euro 6,£199,"£9,200",1.0,
28,Octavia,Diesel,1.6L,Manual,"53,771 miles",5,103 bhp,2015 (15),Hatchback,99 g/km,BRILLIANT SILVER,24-02-2022,74.3,,£199,"£8,900",2.0,Euro 5
29,Citigo,Petrol,1.0L,Manual,"15,898 miles",5,59 bhp,2018 (68),Hatchback,96 g/km,BLUE,,54.3,Euro 6,£199,"£8,200",1.0,
30,Fabia,Petrol,1.2L,Manual,"72,425 miles",5,109 bhp,2017 (17),Hatchback,110 g/km,GREY,11-08-2022,58.9,Euro 6,£199,"£7,800",,
31,Citigo,Petrol,1.0L,Manual,"18,203 miles",5,74 bhp,2016 (66),Hatchback,98 g/km,CANDY WHITE,,67.3,Euro 6,£199,"£7,500",1.0,
32,Fabia,Diesel,1.2L,Manual,"23,628 miles",5,75 bhp,2015 (15),Hatchback,89 g/km,SILVER,29-07-2021,83.1,,£199,"£6,500",2.0,Euro 5
