,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,Body Type,CO2,Colour,MPG,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim
0,Grandland X,Diesel,1.5L,Manual,"9,043 miles",5,128 bhp,2019 (19),Hatchback,113 g/km,GREY,48.7,1.0,Euro 6,£199,"£18,500",,
1,Insignia,Petrol,1.5L,Manual,"32,211 miles",5,163 bhp,2019 (68),Estate,131 g/km,RED,43.5,2.0,Euro 6,£199,"£17,500",01-11-2022,
2,Zafira Tourer,Petrol,1.4L,Manual,"30,895 miles",5,138 bhp,2018 (18),MPV,156 g/km,Dark Caramel Premium,41.5,1.0,Euro 6,£199,"£17,000",10-03-2022,
3,Insignia,Diesel,1.6L,Manual,"31,790 miles",5,109 bhp,2018 (68),Estate,121 g/km,BLACK,55.4,1.0,Euro 6,£199,"£16,900",23-08-2022,
4,Grandland X,Petrol,1.2L,Manual,"32,370 miles",5,128 bhp,2018 (68),Hatchback,121 g/km,WHITE,44.1,1.0,Euro 6,£199,"£16,700",09-10-2022,
5,Grandland X,Petrol,1.2L,Manual,"32,453 miles",5,128 bhp,2018 (68),Hatchback,117 g/km,TOPAZ BLUE,55.4,2.0,Euro 6,£199,"£16,600",08-07-2022,
6,Insignia,Diesel,2.0L,Manual,"46,785 miles",5,168 bhp,2019 (68),Hatchback,142 g/km,Satin Steel Grey metallic,51.4,,Euro 6,£199,"£16,100",,
7,Insignia,Diesel,2.0L,Manual,"30,855 miles",5,168 bhp,2018 (67),Hatchback,136 g/km,Satin Steel Grey metallic,54.3,2.0,Euro 6,£199,"£15,800",07-09-2022,
8,Mokka X,Petrol,1.4L,Automatic,"33,132 miles",5,138 bhp,2018 (68),Hatchback,162 g/km,RED,37.2,1.0,Euro 6,£199,"£15,500",08-08-2022,
9,Zafira Tourer,Petrol,1.4L,Manual,"23,047 miles",5,138 bhp,2018 (18),MPV,156 g/km,SOVEREIGN SILVER,41.5,1.0,Euro 6,£199,"£15,500",27-04-2022,
10,Mokka X,Petrol,1.4L,Automatic,"31,374 miles",5,138 bhp,2018 (68),Hatchback,162 g/km,WHITE,37.2,1.0,Euro 6,£199,"£15,300",21-07-2022,
11,Mokka X,Petrol,1.4L,Automatic,"34,228 miles",5,138 bhp,2018 (68),Hatchback,162 g/km,BLUE,37.2,1.0,Euro 6,£199,"£15,200",10-08-2022,
12,Zafira,Petrol,1.4L,Manual,"28,795 miles",5,138 bhp,2018 (18),MPV,156 g/km,SILVER,41.5,2.0,Euro 6,£199,"£14,700",11-02-2022,
13,Mokka X,Petrol,1.4L,Automatic,"43,230 miles",5,138 bhp,2018 (68),Hatchback,162 g/km,WHITE,37.2,1.0,Euro 6,£199,"£14,500",,
14,Astra,Petrol,1.6L,Manual,"9,134 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,BLACK,41.5,1.0,Euro 6,£199,"£14,500",06-10-2022,
15,Insignia,Petrol,1.5L,Manual,"37,108 miles",5,163 bhp,2019 (19),Hatchback,129 g/km,BLACK,44.8,1.0,Euro 6,£199,"£14,400",,
16,Grandland X,Diesel,1.6L,Manual,"48,587 miles",5,118 bhp,2018 (18),Hatchback,104 g/km,BLUE,70.6,1.0,Euro 6,£199,"£14,400",27-05-2022,
17,Astra,Petrol,1.4L,Manual,"19,158 miles",5,148 bhp,2018 (67),Hatchback,128 g/km,WHITE,51.4,1.0,Euro 6,£199,"£14,400",19-02-2022,
18,Astra,Petrol,1.6L,Manual,"21,095 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,COSMIC GREY,41.5,1.0,Euro 6,£199,"£14,300",29-09-2022,
19,Astra,Petrol,1.6L,Manual,"12,239 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,SUMMIT WHITE,41.5,1.0,Euro 6,£199,"£14,250",,
20,Astra,Petrol,1.6L,Manual,"14,234 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,COSMIC GREY,41.5,1.0,Euro 6,£199,"£14,100",,BLACK SIENA LEATHER
21,Zafira Tourer,Petrol,1.4L,Manual,"44,181 miles",5,138 bhp,2018 (67),MPV,156 g/km,GREEN,41.5,1.0,Euro 6,£199,"£14,100",14-01-2022,
22,Astra,Petrol,1.6L,Manual,"16,124 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,MINERAL BLACK,41.5,1.0,Euro 6,£199,"£14,000",,
23,Astra,Petrol,1.6L,Manual,"24,786 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,GREY,41.5,1.0,Euro 6,£199,"£14,000",21-10-2022,
24,Astra,Diesel,1.6L,Manual,"21,035 miles",5,134 bhp,2018 (68),Hatchback,103 g/km,Dark Moon Blue Premium,72.4,1.0,Euro 6,£199,"£14,000",29-09-2022,
25,Astra,Petrol,1.6L,Manual,"9,604 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,BLACK,41.5,1.0,Euro 6,£199,"£14,000",29-09-2022,
26,Astra,Petrol,1.6L,Manual,"14,648 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,BLACK,41.5,1.0,Euro 6,£199,"£14,000",20-11-2022,
27,Grandland X,Diesel,1.6L,Manual,"67,211 miles",5,118 bhp,2018 (68),Hatchback,104 g/km,BLUE,70.6,1.0,Euro 6,£199,"£13,900",17-08-2022,
28,Astra,Petrol,1.6L,Manual,"16,912 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,Flip Chip Silver metallic,41.5,1.0,Euro 6,£199,"£13,700",,
29,Insignia,Diesel,1.6L,Manual,"59,686 miles",5,109 bhp,2018 (68),Estate,122 g/km,BLUE,55.4,2.0,Euro 6,£199,"£13,700",23-08-2022,
30,Mokka X,Diesel,1.6L,Manual,"34,769 miles",5,134 bhp,2017 (67),Hatchback,106 g/km,GREY,68.9,1.0,Euro 6,£199,"£13,700",12-10-2022,
31,Grandland X,Petrol,1.2L,Manual,"60,764 miles",5,128 bhp,2018 (68),Hatchback,120 g/km,RED,44.1,1.0,Euro 6,£199,"£13,700",05-08-2022,
32,Insignia,Diesel,1.6L,Manual,"61,548 miles",5,108 bhp,2018 (18),Estate,112 g/km,BLUE,65.7,2.0,Euro 6,£199,"£13,600",30-03-2022,
33,Astra,Petrol,1.6L,Manual,"24,017 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,MINERAL BLACK,41.5,1.0,Euro 6,£199,"£13,500",,
34,Crossland X,Petrol,1.2L,Manual,"19,612 miles",5,109 bhp,2019 (19),Hatchback,109 g/km,WHITE,47.1,1.0,Euro 6,£199,"£13,500",,
35,Astra,Petrol,1.6L,Manual,"20,420 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,BLACK,41.5,1.0,Euro 6,£199,"£13,500",,
36,Astra,Petrol,1.6L,Manual,"24,177 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,BLACK,41.5,1.0,Euro 6,£199,"£13,500",25-10-2022,
37,Astra,Petrol,1.6L,Manual,"24,362 miles",5,197 bhp,2018 (68),Hatchback,147 g/km,GREY,41.5,1.0,Euro 6,£199,"£13,500",07-11-2022,
38,Mokka X,Petrol,1.4L,Automatic,"21,013 miles",5,138 bhp,2017 (67),Hatchback,149 g/km,ORANGE,43.5,2.0,Euro 6,£199,"£13,500",09-09-2022,
39,Mokka X,Petrol,1.4L,Manual,"31,606 miles",5,138 bhp,2018 (68),Hatchback,150 g/km,BLACK,39.2,2.0,Euro 6,£199,"£13,300",,
